%iy	id	it	imin	Q*	QH	QE	Qs	Qf	Wind	RH	Td	press	rain	Kdn	snow	ldown	fcld	wuh	xsmd	lai_hr	Kdiff	Kdir	Wd
2011	1	0	0	-999	-999	-999	-999	-999	0.505840422	99.969	4.64575	101.87	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	1	0	-999	-999	-999	-999	-999	1.011690677	99.969	4.44575	101.87	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	2	0	-999	-999	-999	-999	-999	2.023381353	88.872441	5.04575	101.84	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	3	0	-999	-999	-999	-999	-999	1.517531099	87.172968	4.94575	101.83	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	4	0	-999	-999	-999	-999	-999	2.023381353	83.97396	4.94575	101.77	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	5	0	-999	-999	-999	-999	-999	2.023381353	86.97303	4.54575	101.72	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	6	0	-999	-999	-999	-999	-999	1.517531099	86.773092	4.44575	101.7	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	7	0	-999	-999	-999	-999	-999	0.505840422	89.9721	4.24575	101.7	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	8	0	-999	-999	-999	-999	-999	1.517531099	88.472565	4.44575	101.72	0	0.02	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	9	0	-999	-999	-999	-999	-999	1.517531099	88.572534	4.64575	101.73	0	4.05	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	10	0	-999	-999	-999	-999	-999	1.011690677	88.872441	5.04575	101.76	0	9.87	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	11	0	-999	-999	-999	-999	-999	1.517531099	90.571914	5.44575	101.77	0	55.39	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	12	0	-999	-999	-999	-999	-999	1.011690677	89.372286	6.24575	101.77	0	87.4	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	13	0	-999	-999	-999	-999	-999	1.517531099	95.370426	6.24575	101.74	0	52.73	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	14	0	-999	-999	-999	-999	-999	1.517531099	99.969	6.24575	101.72	0	27.9	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	15	0	-999	-999	-999	-999	-999	2.023381353	96.96993	6.44575	101.73	0	13.8	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	16	0	-999	-999	-999	-999	-999	1.011690677	98.569434	6.44575	101.77	0	4.44	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	17	0	-999	-999	-999	-999	-999	3.03507203	98.369496	6.04575	101.83	0.2	0.06	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	18	0	-999	-999	-999	-999	-999	1.517531099	98.269527	4.94575	101.85	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	19	0	-999	-999	-999	-999	-999	0.505840422	99.969	4.74575	101.87	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	20	0	-999	-999	-999	-999	-999	1.517531099	99.969	4.54575	101.9	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	21	0	-999	-999	-999	-999	-999	1.517531099	94.870581	4.24575	101.93	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	22	0	-999	-999	-999	-999	-999	2.023381353	93.271077	4.04575	101.97	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	23	0	-999	-999	-999	-999	-999	1.517531099	94.770612	3.54575	101.98	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	0	0	-999	-999	-999	-999	-999	1.011690677	93.071139	3.34575	101.99	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	1	0	-999	-999	-999	-999	-999	1.517531099	93.171108	3.24575	101.99	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	2	0	-999	-999	-999	-999	-999	1.517531099	91.271697	3.04575	102	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	3	0	-999	-999	-999	-999	-999	1.011690677	94.570674	2.54575	102.02	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	4	0	-999	-999	-999	-999	-999	1.011690677	94.470705	2.04575	102.04	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	5	0	-999	-999	-999	-999	-999	1.011690677	94.270767	1.44575	102.04	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	6	0	-999	-999	-999	-999	-999	1.011690677	96.070209	1.04575	102.05	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	7	0	-999	-999	-999	-999	-999	1.011690677	96.070209	0.74575	102.06	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	8	0	-999	-999	-999	-999	-999	1.011690677	96.070209	0.74575	102.08	0	0.06	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	9	0	-999	-999	-999	-999	-999	0.505840422	96.270147	1.24575	102.13	0	16.77	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	10	0	-999	-999	-999	-999	-999	0.505840422	96.170178	1.64575	102.18	0	90.34	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	11	0	-999	-999	-999	-999	-999	1.517531099	82.574394	2.94575	102.21	0	111.45	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	12	0	-999	-999	-999	-999	-999	1.517531099	79.475355	3.24575	102.2	0	100.3	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	13	0	-999	-999	-999	-999	-999	1.011690677	78.275727	3.84575	102.18	0	98.92	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	14	0	-999	-999	-999	-999	-999	1.517531099	73.277277	3.74575	102.16	0	84.93	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	15	0	-999	-999	-999	-999	-999	1.517531099	76.376316	3.54575	102.16	0	53.02	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	16	0	-999	-999	-999	-999	-999	1.011690677	77.575944	3.04575	102.17	0	17.98	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	17	0	-999	-999	-999	-999	-999	0.505840422	83.774022	2.24575	102.18	0	0.31	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	18	0	-999	-999	-999	-999	-999	0.505840422	85.473495	2.14575	102.17	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	19	0	-999	-999	-999	-999	-999	0.101170051	86.97303	1.64575	102.18	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	20	0	-999	-999	-999	-999	-999	1.011690677	86.97303	1.64575	102.17	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	21	0	-999	-999	-999	-999	-999	0.505840422	88.672503	1.24575	102.16	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	22	0	-999	-999	-999	-999	-999	0.505840422	90.471945	1.14575	102.15	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	23	0	-999	-999	-999	-999	-999	1.011690677	90.272007	1.04575	102.15	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	0	0	-999	-999	-999	-999	-999	0.101170051	88.372596	0.94575	102.13	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	1	0	-999	-999	-999	-999	-999	1.011690677	90.272007	0.74575	102.11	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	2	0	-999	-999	-999	-999	-999	0.505840422	90.072069	0.54575	102.08	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	3	0	-999	-999	-999	-999	-999	0.505840422	92.071449	0.34575	102.06	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	4	0	-999	-999	-999	-999	-999	2.023381353	90.272007	0.14575	102.03	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	5	0	-999	-999	-999	-999	-999	0.505840422	91.271697	-0.55425	102	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	6	0	-999	-999	-999	-999	-999	0.505840422	92.771232	-0.95425	101.95	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	7	0	-999	-999	-999	-999	-999	1.011690677	94.570674	-1.35425	101.89	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	8	0	-999	-999	-999	-999	-999	1.011690677	95.770302	-2.05425	101.9	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	9	0	-999	-999	-999	-999	-999	0.505840422	98.469465	-1.65425	101.89	0	16.82	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	10	0	-999	-999	-999	-999	-999	1.011690677	99.269217	-0.75425	101.89	0	64.22	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	11	0	-999	-999	-999	-999	-999	0.101170051	95.97024	0.24575	101.88	0	106.5	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	12	0	-999	-999	-999	-999	-999	0.101170051	90.272007	1.04575	101.83	0	145.73	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	13	0	-999	-999	-999	-999	-999	0.505840422	84.873681	1.34575	101.77	0	114.22	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	14	0	-999	-999	-999	-999	-999	0.505840422	84.97365	1.54575	101.71	0	61.17	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	15	0	-999	-999	-999	-999	-999	0.101170051	86.773092	1.44575	101.65	0	33.06	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	16	0	-999	-999	-999	-999	-999	1.011690677	86.773092	1.44575	101.61	0	5.08	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	17	0	-999	-999	-999	-999	-999	1.517531099	83.174208	1.54575	101.57	0	0.08	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	18	0	-999	-999	-999	-999	-999	1.011690677	81.274797	1.54575	101.53	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	19	0	-999	-999	-999	-999	-999	2.529221775	85.173588	1.74575	101.49	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	20	0	-999	-999	-999	-999	-999	1.517531099	86.773092	1.44575	101.44	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	21	0	-999	-999	-999	-999	-999	1.011690677	90.272007	1.04575	101.41	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	3	22	0	-999	-999	-999	-999	-999	0.505840422	90.172038	0.04575	101.36	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
