%iy	id	it	imin	Q*	QH	QE	Qs	Qf	Wind	RH	Td	press	rain	Kdn	snow	ldown	fcld	wuh	xsmd	lai_hr	Kdiff	Kdir	Wd
2011	1	1	0	-999	-999	-999	-999	-999	1.330804598453826	99.806603828	4.16155	101.87	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	2	0	-999	-999	-999	-999	-999	1.330804598453826	99.806603828	4.16155	101.84	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	3	0	-999	-999	-999	-999	-999	2.5292217753857877	82.574394	5.345750000000001	101.83	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	4	0	-999	-999	-999	-999	-999	2.5292217753857877	82.174518	4.94575	101.77	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	5	0	-999	-999	-999	-999	-999	3.5409124521073285	83.674053	4.74575	101.72	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	6	0	-999	-999	-999	-999	-999	3.035072030164624	83.574084	4.6457500000000005	101.7	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	7	0	-999	-999	-999	-999	-999	3.5409124521073285	82.174518	4.94575	101.7	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	8	0	-999	-999	-999	-999	-999	2.023381353443082	85.273557	4.845750000000001	101.72	0.0	0.02	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	9	0	-999	-999	-999	-999	-999	2.5292217753857877	85.37352600000001	5.04575	101.73	0.0	4.05	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	10	0	-999	-999	-999	-999	-999	2.023381353443082	85.573464	5.24575	101.76	0.0	9.87	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	11	0	-999	-999	-999	-999	-999	2.5292217753857877	85.97334	5.845750000000001	101.77	0.0	55.39	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	12	0	-999	-999	-999	-999	-999	2.5292217753857877	86.373216	6.6457500000000005	101.77	0.0	87.4	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	13	0	-999	-999	-999	-999	-999	2.023381353443082	93.770922	6.54575	101.74	0.0	52.73	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	14	0	-999	-999	-999	-999	-999	2.5292217753857877	91.071759	7.04575	101.72	0.0	27.9	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	15	0	-999	-999	-999	-999	-999	2.023381353443082	91.071759	6.94575	101.73	0.0	13.8	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	16	0	-999	-999	-999	-999	-999	3.035072030164624	92.27138699999999	6.345750000000001	101.77	0.0	4.44	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	17	0	-999	-999	-999	-999	-999	3.5409124521073285	92.071449	5.6457500000000005	101.83	0.2	0.06	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	18	0	-999	-999	-999	-999	-999	4.046762706886164	87.272937	5.44575	101.85	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	19	0	-999	-999	-999	-999	-999	3.5409124521073285	85.473495	5.1457500000000005	101.87	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	20	0	-999	-999	-999	-999	-999	3.5409124521073285	83.674053	4.94575	101.9	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	21	0	-999	-999	-999	-999	-999	3.5409124521073285	83.574084	4.6457500000000005	101.93	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	22	0	-999	-999	-999	-999	-999	2.5292217753857877	84.873681	4.345750000000001	101.97	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	1	23	0	-999	-999	-999	-999	-999	2.5292217753857877	86.373216	4.04575	101.98	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	0	0	-999	-999	-999	-999	-999	2.023381353443082	87.97272	3.7457499999999997	101.99	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	1	0	-999	-999	-999	-999	-999	2.5292217753857877	86.073309	3.44575	101.99	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	2	0	-999	-999	-999	-999	-999	2.023381353443082	85.77340199999999	3.04575	102.0	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	3	0	-999	-999	-999	-999	-999	1.517531098664246	83.97396	2.94575	102.02	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2011	2	4	0	-999	-999	-999	-999	-999	1.517531098664246	83.873991	2.7457499999999997	102.04	0.0	0.0	-999	-999	-999	-999	-999	-999	-999	-999	-999
