Year	DOY	Hour	Min	 Dectime	  HDD1_h	  HDD2_c	HDD3_Tmean	HDD4_T5d	   P_day	  DaysSR	GDD_EveTr	GDD_DecTr	GDD_Grass	SDD_EveTr	SDD_DecTr	SDD_Grass	    Tmin	    Tmax	   DLHrs	LAI_EveTr	LAI_DecTr	LAI_Grass	DecidCap	Porosity	AlbEveTr	AlbDecTr	AlbGrass	WU_EveTr1	WU_EveTr2	WU_EveTr3	WU_DecTr1	WU_DecTr2	WU_DecTr3	WU_Grass1	WU_Grass2	WU_Grass3	deltaLAI	LAIlumps	 AlbSnow	DensSnow_Paved	DensSnow_Bldgs	DensSnow_EveTr	DensSnow_DecTr	DensSnow_Grass	DensSnow_BSoil	DensSnow_Water	      a1	      a2	      a3
2011	  1	  23	 55	  0.9965	   13.44	    0.00	      4.76	    4.76	    0.20	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    3.31	    6.17	    5.33	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.29	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	          8.98	    0.34	    0.31	  -31.41
2011	  2	  23	 55	  1.9965	   16.29	    0.00	      1.97	    3.37	    0.00	    1.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    0.47	    3.57	    7.83	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.28	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	         17.71	    0.34	    0.31	  -31.41
2011	  3	  23	 55	  2.9965	   18.12	    0.00	      0.14	    2.29	    0.00	    2.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	   -2.33	    1.47	    7.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.27	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	         26.27	    0.34	    0.31	  -31.41
2011	  4	  23	 55	  3.9965	   16.19	    0.00	      2.08	    2.24	    0.00	    3.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	   -0.93	    4.53	    7.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.26	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	         34.66	    0.34	    0.31	  -31.41
2011	  5	  23	 55	  4.9965	   12.90	    0.00	      5.36	    2.86	    0.60	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    3.27	    6.77	    6.92	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.25	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	         42.89	    0.34	    0.31	  -31.41
2011	  6	  23	 55	  5.9965	   14.68	    0.00	      3.58	    3.01	   12.20	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    1.21	    6.27	    6.42	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.25	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	         50.95	    0.34	    0.31	  -31.41
2011	  7	  23	 55	  6.9965	   12.53	    0.00	      5.73	    3.55	    9.80	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    0.97	   10.37	    6.25	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.24	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	         58.85	    0.34	    0.31	  -31.41
2011	  8	  23	 55	  7.9965	   11.23	    0.00	      7.04	    4.25	    4.00	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    2.07	    9.77	    7.67	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.23	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	         66.59	    0.34	    0.31	  -31.41
2011	  9	  23	 55	  8.9965	   15.23	    0.00	      3.03	    4.00	    0.00	    1.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    0.87	    6.57	    8.33	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.23	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	         74.19	    0.34	    0.31	  -31.41
2011	 10	  23	 55	  9.9965	   13.91	    0.00	      4.36	    4.08	    0.80	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	   -1.73	    7.67	    8.00	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.22	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	         81.63	    0.34	    0.31	  -31.41
