Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	     gvf	  shadow	     svf	svfbuveg	      Ta	      Tg
2011	  1	   1	  0	  0.0417	   36.20	  -20.85	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  313.11	  330.67	  321.53	  321.53	  321.53	  321.53	    1.27	    3.87	    1.00	    0.00	    0.00	    0.97	    0.97	    4.17	    2.59
2011	  1	   2	  0	  0.0833	   21.20	  -18.65	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  313.11	  330.84	  321.61	  321.61	  321.61	  321.61	    1.29	    3.87	    1.00	    0.00	    0.00	    0.97	    0.97	    4.17	    2.62
2011	  1	   3	  0	  0.1250	   35.37	  -14.24	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  308.39	  343.74	  325.60	  325.60	  325.60	  325.60	    2.14	    4.50	    1.00	    0.00	    0.00	    0.97	    0.97	    4.49	    4.99
2011	  1	   4	  0	  0.1667	   48.48	   -8.00	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  303.22	  345.22	  323.66	  323.66	  323.66	  323.66	    1.73	    4.72	    1.00	    0.00	    0.00	    0.97	    0.97	    4.71	    5.07
2011	  1	   5	  0	  0.2083	   60.63	    0.10	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  300.70	  344.45	  321.78	  321.78	  321.78	  321.78	    1.33	   19.38	    0.79	    0.50	    0.50	    0.97	    0.97	    4.67	    4.96
2011	  1	   6	  0	  0.2500	   72.14	    8.34	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  299.93	  342.25	  320.11	  320.11	  320.11	  320.11	    0.98	  132.20	    0.35	    1.00	    1.00	    0.97	    0.97	    4.45	    4.73
2011	  1	   7	  0	  0.2917	   83.45	   17.41	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  299.79	  340.12	  319.02	  319.02	  319.02	  319.02	    0.75	  271.40	    0.24	    1.00	    1.00	    0.97	    0.97	    4.21	    4.52
2011	  1	   8	  0	  0.3333	   95.18	   26.73	     0.61	      0.00	     0.61	    0.59	    0.06	    0.61	    0.61	    0.61	    0.61	  300.57	  339.10	  318.92	  318.92	  318.92	  318.92	    0.81	  407.53	    0.17	    1.00	    1.00	    0.97	    0.97	    4.06	    4.47
2011	  1	   9	  0	  0.3750	  108.11	   35.86	     4.48	      0.00	     4.48	    4.33	    0.43	    4.48	    4.48	    4.48	    4.48	  301.36	  339.38	  319.47	  319.47	  319.47	  319.47	    1.49	  530.62	    0.14	    1.00	    1.00	    0.97	    0.97	    4.07	    4.51
2011	  1	  10	  0	  0.4167	  123.33	   44.26	    15.90	      0.00	    15.90	   15.39	    1.54	   15.90	   15.90	   15.90	   15.90	  301.93	  341.60	  320.84	  320.84	  320.84	  320.84	    3.41	  632.13	    0.12	    1.00	    1.00	    0.97	    0.97	    4.27	    4.77
