Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2011	  1	   1	  0	  0.0417	   36.20	  -20.85	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  298.61	  318.58	  308.22	  308.22	  308.22	  308.22	   -1.62	   66.13	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.76	    4.16	    0.00	    0.00
2011	  1	   2	  0	  0.0833	   21.20	  -18.65	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  298.61	  318.58	  308.22	  308.22	  308.22	  308.22	   -1.62	   66.13	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.76	    4.16	    0.00	    0.00
2011	  1	   3	  0	  0.1250	   35.37	  -14.24	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  299.55	  320.08	  309.46	  309.46	  309.46	  309.46	   -1.34	   66.21	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.76	    4.49	    0.00	    0.00
2011	  1	   4	  0	  0.1667	   48.48	   -8.00	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  299.93	  321.09	  310.20	  310.20	  310.20	  310.20	   -1.18	   66.30	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.76	    4.71	    0.00	    0.00
2011	  1	   5	  0	  0.2083	   60.63	    0.10	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  295.22	  320.88	  307.99	  307.99	  308.03	  308.03	   -1.67	   53.62	    0.53	     0.26	    0.23	      0.97	    0.97	     0.97	    0.75	    4.66	    0.00	    0.00
2011	  1	   6	  0	  0.2500	   72.14	    8.34	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  308.54	  320.19	  313.35	  313.35	  313.43	  313.43	   -0.47	  162.60	    0.35	     0.90	    0.50	      0.97	    0.97	     0.97	    0.75	    4.44	    0.07	    0.00
2011	  1	   7	  0	  0.2917	   83.45	   17.41	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  316.64	  320.15	  316.80	  316.80	  316.88	  316.88	    0.29	  334.48	    0.24	     0.95	    0.50	      0.97	    0.97	     0.97	    0.75	    4.21	    0.31	    0.00
2011	  1	   8	  0	  0.3333	   95.18	   26.73	     0.61	      0.00	     0.61	    0.59	    0.06	    0.27	    0.27	    0.27	    0.27	  321.02	  320.07	  318.71	  318.63	  318.64	  318.72	    0.74	  502.42	    0.17	     0.97	    0.50	      0.97	    0.97	     0.97	    0.75	    4.05	    0.44	    0.00
2011	  1	   9	  0	  0.3750	  108.11	   35.86	     4.48	      0.00	     4.48	    4.36	    0.44	    1.98	    1.98	    1.98	    1.98	  324.17	  320.41	  320.27	  320.18	  320.18	  320.27	    1.35	  654.24	    0.13	     0.98	    0.50	      0.97	    0.97	     0.97	    0.76	    4.07	    0.50	    0.00
2011	  1	  10	  0	  0.4167	  123.33	   44.26	    15.90	      0.00	    15.90	   15.49	    1.55	    7.01	    7.01	    7.01	    7.01	  326.56	  321.36	  321.84	  321.75	  321.75	  321.84	    2.47	  779.47	    0.12	     0.99	    0.50	      0.97	    0.97	     0.97	    0.76	    4.27	    0.50	    0.00
2011	  1	  11	  0	  0.4583	  142.09	   51.11	    55.32	      0.00	    55.32	   53.89	    5.37	   24.39	   24.39	   24.39	   24.39	  326.32	  322.71	  322.48	  322.40	  322.40	  322.48	    5.27	  869.07	    0.14	     0.99	    0.50	      0.97	    0.97	     0.97	    0.76	    4.58	    0.48	    0.00
2011	  1	  12	  0	  0.5000	  165.04	   55.27	    79.01	      0.00	    79.01	   76.98	    7.68	   34.84	   34.84	   34.84	   34.84	  327.44	  324.53	  324.00	  323.91	  323.92	  324.00	    7.14	  916.84	    0.15	     0.99	    0.50	      0.97	    0.97	     0.97	    0.76	    4.98	    0.47	    0.04
2011	  1	  13	  0	  0.5417	  190.31	   55.63	    52.72	      0.00	    52.72	   51.37	    5.12	   23.24	   23.24	   23.24	   23.24	  332.88	  327.63	  328.08	  328.07	  328.02	  328.01	    6.24	  919.80	    0.12	     0.99	    0.50	      0.97	    0.97	     0.97	    0.76	    5.59	    0.52	    0.09
2011	  1	  14	  0	  0.5833	  213.91	   52.10	    28.43	      0.00	    28.43	   27.70	    2.76	   12.54	   12.54	   12.54	   12.54	  335.99	  329.92	  330.68	  330.68	  330.64	  330.62	    5.16	  877.65	    0.10	     0.99	    0.50	      0.97	    0.97	     0.97	    0.77	    5.96	    0.64	    0.15
2011	  1	  15	  0	  0.6250	  233.44	   45.64	    13.90	      0.00	    13.90	   13.55	    1.35	    6.13	    6.13	    6.13	    6.13	  335.79	  330.84	  331.06	  331.06	  331.01	  331.03	    4.27	  793.61	    0.11	     0.99	    0.50	      0.97	    0.97	     0.97	    0.77	    5.96	    0.84	    0.22
2011	  1	  16	  0	  0.6667	  249.20	   37.44	     4.78	      0.00	     4.78	    4.65	    0.46	    2.11	    2.11	    2.11	    2.11	  334.91	  332.58	  331.58	  331.58	  331.52	  331.57	    3.75	  674.40	    0.13	     0.98	    0.50	      0.97	    0.97	     0.97	    0.77	    6.07	    1.11	    0.28
2011	  1	  17	  0	  0.7083	  262.45	   28.38	     0.51	      0.00	     0.51	    0.49	    0.05	    0.22	    0.22	    0.22	    0.22	  332.68	  334.47	  331.58	  331.58	  331.51	  331.60	    3.46	  527.31	    0.16	     0.97	    0.50	      0.97	    0.97	     0.97	    0.77	    6.16	    1.43	    0.33
2011	  1	  18	  0	  0.7500	  274.33	   19.05	     0.01	      0.00	     0.01	    0.01	    0.00	    0.00	    0.00	    0.00	    0.00	  327.12	  335.13	  329.37	  329.44	  329.43	  329.45	    2.97	  362.28	    0.22	     0.96	    0.50	      0.97	    0.97	     0.97	    0.77	    5.94	    1.82	    0.31
2011	  1	  19	  0	  0.7917	  285.66	    9.89	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  315.43	  333.40	  323.21	  323.28	  323.28	  323.25	    1.66	  191.17	    0.32	     0.91	    0.50	      0.97	    0.97	     0.97	    0.77	    5.17	    2.37	    0.17
2011	  1	  20	  0	  0.8333	  297.09	    1.49	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  297.33	  326.52	  311.72	  311.77	  311.77	  311.72	   -0.85	   58.28	    0.52	     0.40	    0.32	      0.97	    0.97	     0.97	    0.77	    4.55	    2.33	    0.00
2011	  1	  21	  0	  0.8750	  309.09	   -6.76	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  299.59	  319.46	  309.14	  309.14	  309.14	  309.14	   -1.41	   66.11	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.76	    4.35	    0.00	    0.00
2011	  1	  22	  0	  0.9167	  322.02	  -13.39	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  297.98	  318.29	  307.78	  307.78	  307.78	  307.78	   -1.71	   66.19	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.76	    4.10	    0.00	    0.00
2011	  1	  23	  0	  0.9583	  336.02	  -18.20	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  296.37	  317.16	  306.45	  306.45	  306.45	  306.45	   -2.01	   66.28	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.76	    3.85	    0.00	    0.00
2011	  2	   0	  0	  1.0000	  350.93	  -20.86	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  294.55	  315.51	  304.73	  304.73	  304.73	  304.73	   -2.39	   66.26	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.76	    3.49	    0.00	    0.00
2011	  2	   1	  0	  1.0417	   36.24	  -21.11	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  292.73	  313.97	  303.08	  303.08	  303.08	  303.08	   -2.76	   65.61	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.75	    3.15	    0.00	    0.00
2011	  2	   2	  0	  1.0833	   21.28	  -18.90	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  291.93	  313.31	  302.36	  302.36	  302.36	  302.36	   -2.92	   65.64	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.75	    3.01	    0.00	    0.00
2011	  2	   3	  0	  1.1250	   35.49	  -14.47	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  291.06	  312.61	  301.59	  301.59	  301.59	  301.59	   -3.09	   65.68	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.75	    2.85	    0.00	    0.00
2011	  2	   4	  0	  1.1667	   48.63	   -8.22	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  289.39	  310.97	  299.95	  299.95	  299.95	  299.95	   -3.46	   65.70	    0.48	     0.00	    0.00	      0.97	    0.97	     0.97	    0.75	    2.49	    0.00	    0.00
2011	  2	   5	  0	  1.2083	   60.80	   -0.11	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  282.15	  308.72	  295.49	  295.49	  295.53	  295.53	   -4.48	   51.54	    0.54	     0.24	    0.22	      0.97	    0.97	     0.97	    0.75	    1.99	    0.00	    0.00
2011	  2	   6	  0	  1.2500	   72.32	    8.15	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  294.34	  306.54	  299.53	  299.53	  299.61	  299.61	   -3.53	  159.41	    0.35	     0.89	    0.50	      0.97	    0.97	     0.97	    0.75	    1.44	    0.07	    0.00
2011	  2	   7	  0	  1.2917	   83.65	   17.22	     0.01	      0.00	     0.01	    0.01	    0.00	    0.00	    0.00	    0.00	    0.00	  301.26	  305.38	  301.85	  301.85	  301.92	  301.92	   -2.99	  332.18	    0.24	     0.95	    0.50	      0.97	    0.97	     0.97	    0.75	    0.94	    0.31	    0.00
2011	  2	   8	  0	  1.3333	   95.39	   26.54	     2.49	      0.00	     2.49	    2.43	    0.24	    1.10	    1.10	    1.10	    1.10	  304.44	  304.45	  302.76	  302.69	  302.69	  302.76	   -2.62	  501.26	    0.18	     0.97	    0.50	      0.97	    0.97	     0.97	    0.74	    0.60	    0.45	    0.00
2011	  2	   9	  0	  1.3750	  108.34	   35.66	    25.76	      0.00	    25.76	   25.10	    2.50	   11.37	   11.37	   11.37	   11.37	  304.61	  304.10	  302.63	  302.55	  302.55	  302.63	   -0.97	  654.20	    0.17	     0.98	    0.50	      0.97	    0.97	     0.97	    0.74	    0.46	    0.50	    0.00
2011	  2	  10	  0	  1.4167	  123.55	   44.05	    85.75	      0.00	    85.75	   83.55	    8.33	   37.83	   37.83	   37.83	   37.83	  302.72	  305.33	  302.49	  302.41	  302.41	  302.49	    3.18	  779.86	    0.21	     0.99	    0.50	      0.97	    0.97	     0.97	    0.75	    0.73	    0.51	    0.00
2011	  2	  11	  0	  1.4583	  142.29	   50.88	   107.62	      0.00	   107.62	  104.86	   10.46	   47.46	   47.46	   47.46	   47.46	  305.37	  307.24	  304.72	  304.64	  304.64	  304.72	    5.12	  869.77	    0.20	     0.99	    0.50	      0.97	    0.97	     0.97	    0.75	    1.18	    0.49	    0.00
