Year	DOY	Hour	Min	 Dectime	  HDD1_h	  HDD2_c	HDD3_Tmean	HDD4_T5d	   P_day	  DaysSR	GDD_EveTr	GDD_DecTr	GDD_Grass	SDD_EveTr	SDD_DecTr	SDD_Grass	    Tmin	    Tmax	   DLHrs	LAI_EveTr	LAI_DecTr	LAI_Grass	DecidCap	Porosity	AlbEveTr	AlbDecTr	AlbGrass	WU_EveTr1	WU_EveTr2	WU_EveTr3	WU_DecTr1	WU_DecTr2	WU_DecTr3	WU_Grass1	WU_Grass2	WU_Grass3	deltaLAI	LAIlumps	 AlbSnow	DensSnow_Paved	DensSnow_Bldgs	DensSnow_EveTr	DensSnow_DecTr	DensSnow_Grass	DensSnow_BSoil	DensSnow_Water	      a1	      a2	      a3
2011	  1	  23	 55	  0.9965	   13.45	    0.00	      4.75	    4.75	    0.20	    0.00	     0.00	     0.00	     0.00	  -385.59	  -378.59	  -381.59	    3.30	    6.16	    5.33	     0.50	     0.80	     0.80	    0.80	    1.00	    0.10	    0.80	    0.16	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.64	    0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	    0.22	    0.33	  -19.91
2011	  2	  23	 55	  1.9965	   16.29	    0.00	      1.97	    3.36	    0.00	    1.00	     0.00	     0.00	     0.00	  -403.58	  -389.58	  -395.58	    0.46	    3.56	    7.83	     0.50	     0.80	     0.80	    0.80	    1.00	    0.10	    0.80	    0.16	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.64	    0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	    0.22	    0.33	  -19.91
2011	  3	  23	 55	  2.9965	   18.13	    0.00	      0.14	    2.29	    0.00	    2.00	     0.00	     0.00	     0.00	  -424.01	  -403.01	  -412.01	   -2.34	    1.46	    7.17	     0.50	     0.80	     0.80	    0.80	    1.00	    0.10	    0.80	    0.16	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.64	    0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	    0.22	    0.33	  -19.91
2011	  4	  23	 55	  3.9965	   16.19	    0.00	      2.07	    2.23	    0.00	    3.00	     0.00	     0.00	     0.00	  -442.22	  -414.22	  -426.22	   -0.94	    4.53	    7.17	     0.50	     0.80	     0.80	    0.80	    1.00	    0.10	    0.80	    0.16	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.64	    0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	    0.22	    0.33	  -19.91
2011	  5	  23	 55	  4.9965	   12.90	    0.00	      5.36	    2.86	    0.60	    0.00	     0.00	     0.00	     0.00	  -450.00	  -422.21	  -437.21	    3.26	    6.76	    6.92	     0.40	     0.80	     0.80	    0.80	    1.00	    0.14	    0.80	    0.16	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.64	    0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	    0.22	    0.33	  -19.91
2011	  6	  23	 55	  5.9965	   14.69	    0.00	      3.58	    3.00	   12.20	    0.00	     0.00	     0.00	     0.00	  -450.00	  -431.48	  -449.48	    1.20	    6.26	    6.42	     0.50	     0.80	     0.80	    0.80	    1.00	    0.10	    0.80	    0.16	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.64	    0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	    0.22	    0.33	  -19.91
2011	  7	  23	 55	  6.9965	   12.54	    0.00	      5.73	    3.55	    9.80	    0.00	     0.00	     0.00	     1.66	  -450.00	  -438.81	  -450.00	    0.96	   10.36	    6.25	     0.40	     0.80	     0.80	    0.80	    1.00	    0.14	    0.80	    0.16	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.64	    0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	    0.22	    0.33	  -19.91
2011	  8	  23	 55	  7.9965	   11.23	    0.00	      7.03	    4.24	    4.00	    0.00	     0.00	     0.00	     3.57	  -450.00	  -445.90	  -450.00	    2.06	    9.76	    7.67	     0.50	     0.80	     0.81	    0.80	    1.00	    0.10	    0.80	    0.16	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.65	    0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	    0.22	    0.33	  -19.91
2011	  9	  23	 55	  8.9965	   15.24	    0.00	      3.03	    4.00	    0.00	    1.00	     0.00	     0.71	     0.00	  -450.00	  -450.00	  -450.00	    0.86	    6.56	    8.33	     0.40	     0.30	     0.81	    0.80	    0.00	    0.14	    0.12	    0.16	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    1.00	    0.63	    0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	    0.22	    0.33	  -19.91
2011	 10	  23	 55	  9.9965	   13.91	    0.00	      4.35	    4.07	    0.80	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	   -1.74	    7.66	    8.00	     0.50	     0.80	     0.81	    0.80	    1.00	    0.10	    0.80	    0.16	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	   -1.00	    0.65	    0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	          0.00	    0.22	    0.33	  -19.91
