Year	DOY	Hour	Min	 Dectime	RSS_Paved	RSS_Bldgs	RSS_EveTr	RSS_DecTr	RSS_Grass	RSS_BSoil	RSS_Water	state_Paved	state_Bldgs	state_EveTr	state_DecTr	state_Grass	state_BSoil	state_Water	      RS	      RA	      RB	  RAsnow	 vpd_hPa	  avdens	    avcp	    qn_e	   s_hPa	psyc_hPa
2011	  1	   1	  0	  0.0417	   436.94	  1219.52	   153.26	     2.94	   189.79	  1919.76	     0.00	       0.21	       0.07	       1.00	       0.99	       1.00	       0.08	   20000.00	10000.00	  105.59	   10.31	    0.00	    0.02	    1.28	 1009.60	    5.90	    0.58	    0.66
2011	  1	   2	  0	  0.0833	   186.34	  1343.88	   181.77	    15.19	   222.05	  2093.46	     0.00	       0.31	       0.07	       0.94	       0.93	       0.94	       0.07	   20000.00	10000.00	  110.55	   10.31	    0.00	    0.02	    1.28	 1009.60	    4.78	    0.58	    0.66
2011	  1	   3	  0	  0.1250	   298.37	  2034.79	   314.95	    44.37	   379.43	  3016.96	     0.00	       0.30	       0.07	       0.89	       0.88	       0.89	       0.07	   20000.00	10000.00	  173.29	   10.31	    0.00	    0.53	    1.28	 1009.43	   -0.37	    0.59	    0.66
2011	  1	   4	  0	  0.1667	   366.62	  2397.05	   399.29	    73.51	   476.54	  3483.57	     0.00	       0.29	       0.06	       0.84	       0.83	       0.85	       0.06	   20000.00	10000.00	  200.00	   10.31	    0.00	    1.04	    1.28	 1009.23	   -4.87	    0.60	    0.66
2011	  1	   5	  0	  0.2083	   389.29	  2492.37	   436.81	    96.87	   517.30	  3594.50	     0.00	       0.28	       0.06	       0.80	       0.79	       0.80	       0.06	   20000.00	10000.00	  200.00	   10.31	    0.00	    1.25	    1.28	 1009.10	   -6.99	    0.60	    0.66
2011	  1	   6	  0	  0.2500	   409.02	  2573.51	   472.10	   119.76	   555.41	  3686.98	     0.00	       0.28	       0.06	       0.76	       0.75	       0.76	       0.06	   20000.00	10000.00	  200.00	   10.31	    0.00	    1.22	    1.28	 1009.05	   -7.30	    0.59	    0.66
2011	  1	   7	  0	  0.2917	   444.41	  3165.98	   529.70	   146.02	   622.51	  4955.41	     0.00	       0.27	       0.05	       0.73	       0.71	       0.73	       0.06	   20000.00	180149.71	  200.00	   10.31	    0.00	    1.10	    1.28	 1009.04	   -6.95	    0.58	    0.66
2011	  1	   8	  0	  0.3333	   381.91	  2322.86	   459.83	   145.24	   531.91	  3572.51	     0.00	       0.26	       0.05	       0.69	       0.68	       0.70	       0.05	   20000.00	47748.94	  200.00	   10.31	    0.00	    0.95	    1.28	 1009.06	   -5.78	    0.57	    0.66
2011	  1	   9	  0	  0.3750	   141.24	   295.19	   160.82	    73.62	   174.47	   314.95	     0.00	       0.25	       0.05	       0.66	       0.65	       0.67	       0.05	   20000.00	  349.78	  200.00	   10.31	    0.00	    0.90	    1.28	 1009.10	   -3.44	    0.57	    0.66
2011	  1	  10	  0	  0.4167	    64.98	   116.12	    73.07	    38.63	    77.93	   121.38	     0.00	       0.25	       0.05	       0.63	       0.62	       0.63	       0.05	   20000.00	  130.06	  171.13	   10.31	    0.00	    0.96	    1.28	 1009.13	    2.43	    0.58	    0.66
2011	  1	  11	  0	  0.4583	    22.30	    37.30	    24.68	    14.62	    26.03	    38.21	     0.00	       0.23	       0.03	       0.59	       0.58	       0.59	       0.03	   20000.00	   39.75	   88.90	   10.31	    0.00	    0.97	    1.28	 1009.23	   23.95	    0.59	    0.66
2011	  1	  12	  0	  0.5000	    17.47	    28.49	    19.11	    12.48	    19.99	    28.54	     0.00	       0.21	       0.00	       0.54	       0.52	       0.54	       0.00	   20000.00	   28.75	   78.72	   10.31	    0.00	    0.90	    1.27	 1009.40	   37.11	    0.61	    0.66
2011	  1	  13	  0	  0.5417	    23.21	    27.93	    25.62	    17.91	    26.65	    27.92	     0.00	       0.20	       0.00	       0.48	       0.47	       0.49	       0.00	   20000.00	   36.92	   92.63	   10.31	    0.00	    0.93	    1.27	 1009.60	   23.79	    0.63	    0.66
2011	  1	  14	  0	  0.5833	    30.13	    27.93	    33.92	    24.62	    35.17	    27.92	     0.00	       0.19	       0.00	       0.44	       0.43	       0.45	       0.00	   20000.00	   47.77	   99.29	   10.31	    0.00	    0.70	    1.27	 1009.86	   14.87	    0.65	    0.66
2011	  1	  15	  0	  0.6250	    39.64	    27.93	    45.99	    33.74	    47.68	    27.92	     0.00	       0.19	       0.00	       0.42	       0.40	       0.42	       0.00	   20000.00	   65.15	   87.81	   10.31	    0.00	    0.21	    1.27	 1010.13	   12.25	    0.65	    0.66
2011	  1	  16	  0	  0.6667	    94.30	    27.93	   117.91	    80.74	   123.61	    27.92	     0.00	       0.19	       0.00	       0.40	       0.38	       0.40	       0.00	   20000.00	  194.19	   85.28	   10.23	    0.00	    0.17	    1.27	 1010.19	    7.96	    0.65	    0.66
