Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	   UStar	     Lob	      Fc	      Ts	      T2	      Q2	     U10	     RH2
2012	  1	   1	  0	  0.0417	    0.14	    0.03	  341.77	  369.51	   11.35	  -27.63	    0.05	  -25.57	   -9.79	    7.79	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.04	    0.69	     0.69	    0.03	   53.16	  110.17	   13.15	    0.19	    0.62	    0.79	    0.28	  171.46	    0.00	   10.78	   11.02	    7.37	    4.36	   89.49
2012	  1	   2	  0	  0.0833	    0.02	    0.00	  342.07	  370.19	   11.48	  -28.10	    0.05	  -25.76	   -7.75	    5.46	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.04	    0.65	     0.65	    0.03	   53.13	  106.91	   27.83	    0.19	    0.61	    0.79	    0.23	  105.10	    0.00	   10.87	   11.11	    7.39	    3.64	   89.29
2012	  1	   3	  0	  0.1250	    0.00	    0.00	  342.68	  369.79	   11.39	  -27.10	    0.04	  -25.58	   -7.42	    5.94	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.03	    0.62	     0.62	    0.03	   53.10	  101.60	   41.52	    0.19	    0.63	    0.79	    0.25	  163.42	    0.00	   10.89	   11.10	    7.41	    3.91	   89.56
2012	  1	   4	  0	  0.1667	    0.00	    0.00	  342.34	  368.89	   11.21	  -26.55	    0.05	  -25.42	   -7.23	    6.15	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.03	    0.58	     0.58	    0.02	   53.08	   94.53	   54.15	    0.19	    0.63	    0.79	    0.27	  217.46	    0.00	   10.79	   10.98	    7.37	    4.14	   89.73
2012	  1	   5	  0	  0.2083	    0.00	    0.00	  340.85	  368.47	   11.15	  -27.62	    0.05	  -25.75	   -8.29	    6.47	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.03	    0.55	     0.55	    0.02	   53.06	   86.28	   65.94	    0.19	    0.62	    0.79	    0.29	  228.62	    0.00	   10.69	   10.90	    7.26	    4.37	   88.95
2012	  1	   6	  0	  0.2500	    0.00	    0.00	  338.78	  368.23	   11.13	  -29.45	    0.06	  -26.32	   -9.22	    6.15	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.03	    0.52	     0.52	    0.02	   53.04	   77.54	   77.27	    0.19	    0.60	    0.79	    0.28	  181.94	    0.00	   10.58	   10.81	    7.13	    4.25	   87.77
2012	  1	   7	  0	  0.2917	    0.00	    0.00	  336.26	  367.42	   10.99	  -31.15	    0.09	  -26.86	   -9.10	    4.90	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.03	    0.50	     0.50	    0.02	   53.02	   68.29	   88.66	    0.19	    0.58	    0.79	    0.24	  118.78	    0.00	   10.34	   10.60	    6.96	    3.82	   86.90
2012	  1	   8	  0	  0.3333	    2.17	    0.41	  334.12	  366.40	   10.81	  -30.53	    0.12	  -26.74	  -11.35	    7.67	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.03	    0.47	     0.47	    0.02	   53.00	   58.98	  100.78	    0.19	    0.57	    0.79	    0.24	  121.44	    0.00	    9.94	   10.28	    6.89	    3.71	   87.89
2012	  1	   9	  0	  0.3750	   18.51	    3.53	  332.88	  366.38	   10.83	  -18.51	    0.13	  -23.43	  -13.79	   18.83	    0.00	    0.00	    0.03	    0.00	   -0.03	   -0.04	    0.43	     0.43	    0.02	   52.99	   50.07	  114.55	    0.19	    0.57	    0.79	    0.23	  228.05	    0.00	    9.60	    9.98	    7.11	    3.60	   92.64
2012	  1	  10	  0	  0.4167	   52.63	   10.03	  332.39	  368.28	   11.23	    6.71	    0.13	  -16.14	  -15.42	   38.40	    0.00	    0.00	    0.06	    0.00	   -0.06	   -0.07	    0.36	     0.36	    0.01	   52.98	   42.21	  131.18	    0.19	    0.57	    0.79	    0.29	 -907.68	    0.00	    9.81	   10.18	    7.08	    4.17	   90.85
