Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	     gvf	  shadow	     svf	svfbuveg	      Ta	      Tg
2011	  1	   1	  0	  0.0417	   36.56	  -20.63	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  294.15	  343.36	  314.60	  314.60	  314.60	  314.60	   -0.12	    4.50	    1.00	    0.00	    0.00	    0.82	    0.82	    4.50	    4.90
2011	  1	   2	  0	  0.0833	   21.52	  -18.38	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  294.55	  340.77	  313.60	  313.60	  313.60	  313.60	   -0.34	    4.37	    1.00	    0.00	    0.00	    0.82	    0.82	    4.37	    4.50
2011	  1	   3	  0	  0.1250	   35.66	  -13.95	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  294.48	  338.38	  312.43	  312.43	  312.43	  312.43	   -0.60	    4.22	    1.00	    0.00	    0.00	    0.82	    0.82	    4.22	    4.16
2011	  1	   4	  0	  0.1667	   48.76	   -7.69	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  293.87	  337.55	  311.69	  311.69	  311.69	  311.69	   -0.76	    4.14	    1.00	    0.00	    0.00	    0.82	    0.82	    4.14	    4.06
2011	  1	   5	  0	  0.2083	   60.91	    0.40	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  295.02	  336.58	  310.84	  310.84	  310.84	  310.84	   -0.92	   21.13	    0.77	    0.58	    0.58	    0.82	    0.82	    3.99	    4.01
2011	  1	   6	  0	  0.2500	   72.43	    8.61	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  295.80	  336.64	  310.53	  310.53	  310.53	  310.53	   -0.97	  136.96	    0.34	    1.00	    1.00	    0.82	    0.82	    3.79	    4.22
2011	  1	   7	  0	  0.2917	   83.79	   17.65	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  296.74	  340.97	  312.81	  312.81	  312.81	  312.81	   -0.46	  276.19	    0.23	    1.00	    1.00	    0.82	    0.82	    3.68	    5.23
2011	  1	   8	  0	  0.3333	   95.57	   26.93	     0.61	      0.00	     0.61	    0.50	    0.05	    0.61	    0.61	    0.61	    0.61	  299.22	  348.08	  317.12	  317.12	  317.12	  317.12	    0.57	  411.97	    0.17	    1.00	    1.00	    0.82	    0.82	    3.76	    6.61
2011	  1	   9	  0	  0.3750	  108.58	   36.00	     4.48	      0.00	     4.48	    3.72	    0.37	    4.48	    4.48	    4.48	    4.48	  301.83	  352.84	  320.57	  320.57	  320.57	  320.57	    1.87	  534.34	    0.14	    1.00	    1.00	    0.82	    0.82	    3.98	    7.36
2011	  1	  10	  0	  0.4167	  123.89	   44.33	    15.90	      0.00	    15.90	   13.22	    1.32	   15.90	   15.90	   15.90	   15.90	  304.06	  355.37	  322.91	  322.91	  322.91	  322.91	    3.97	  634.84	    0.12	    1.00	    1.00	    0.82	    0.82	    4.21	    7.63
