Year	DOY	Hour	Min	 Dectime	  HDD1_h	  HDD2_c	HDD3_Tmean	HDD4_T5d	   P_day	  DaysSR	GDD_EveTr	GDD_DecTr	GDD_Grass	SDD_EveTr	SDD_DecTr	SDD_Grass	    Tmin	    Tmax	   DLHrs	LAI_EveTr	LAI_DecTr	LAI_Grass	DecidCap	Porosity	AlbEveTr	AlbDecTr	AlbGrass	WU_EveTr1	WU_EveTr2	WU_EveTr3	WU_DecTr1	WU_DecTr2	WU_DecTr3	WU_Grass1	WU_Grass2	WU_Grass3	deltaLAI	LAIlumps	 AlbSnow	DensSnow_Paved	DensSnow_Bldgs	DensSnow_EveTr	DensSnow_DecTr	DensSnow_Grass	DensSnow_BSoil	DensSnow_Water	      a1	      a2	      a3
2012	  1	  23	 55	  0.9965	    7.58	    0.00	     10.68	    8.53	   11.20	    0.00	     0.00	     0.00	     0.00	  -209.41	  -209.41	  -209.41	    7.72	   11.87	    6.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.70	        100.00	        100.00	        449.70	        100.00	    0.69	    0.30	   12.54
2012	  2	  23	 55	  1.9965	   12.92	    0.00	      5.34	    7.89	    0.00	    1.00	     0.00	     0.00	     0.00	  -214.41	  -214.41	  -214.41	    4.32	    7.67	    8.25	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.71	        100.00	        100.00	        449.71	        100.00	    0.69	    0.30	   12.54
2012	  3	  23	 55	  2.9965	   10.42	    0.00	      7.84	    7.88	   13.60	    0.00	     0.00	     0.00	     0.00	  -217.36	  -217.36	  -217.36	    4.54	   11.57	    6.58	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.71	        100.00	        100.00	        449.71	        100.00	    0.69	    0.30	   12.54
2012	  4	  23	 55	  3.9965	   12.33	    0.00	      5.93	    7.49	    4.00	    0.00	     0.00	     0.00	     0.00	  -222.09	  -222.09	  -222.09	    3.90	    8.64	    7.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.72	        100.00	        100.00	        449.72	        100.00	    0.69	    0.30	   12.54
2012	  5	  23	 55	  4.9965	   10.03	    0.00	      8.24	    7.64	    3.60	    0.00	     0.00	     0.00	     0.00	  -225.17	  -225.17	  -225.17	    5.56	   10.27	    7.83	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.72	        100.00	        100.00	        449.72	        100.00	    0.69	    0.30	   12.54
2012	  6	  23	 55	  5.9965	   12.29	    0.00	      5.98	    7.31	    0.00	    1.00	     0.00	     0.00	     0.00	  -229.68	  -229.68	  -229.68	    4.29	    8.69	    8.33	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.73	        100.00	        100.00	        449.73	        100.00	    0.69	    0.30	   12.54
2012	  7	  23	 55	  6.9965	    9.91	    0.00	      8.36	    7.52	    0.00	    2.00	     0.00	     0.00	     0.00	  -232.48	  -232.48	  -232.48	    6.73	    9.67	    8.25	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.74	        100.00	        100.00	        449.74	        100.00	    0.69	    0.30	   12.54
2012	  8	  23	 55	  7.9965	   10.71	    0.00	      7.55	    7.53	    0.00	    3.00	     0.00	     0.00	     0.00	  -235.68	  -235.68	  -235.68	    6.56	    9.04	    7.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.74	        100.00	        100.00	        449.74	        100.00	    0.69	    0.30	   12.54
2012	  9	  23	 55	  8.9965	    8.59	    0.00	      9.67	    7.95	    0.00	    4.00	     0.00	     0.00	     0.00	  -237.19	  -237.19	  -237.19	    8.11	   10.87	    7.08	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.75	        100.00	        100.00	        449.75	        100.00	    0.69	    0.30	   12.54
2012	 10	  23	 55	  9.9965	    8.71	    0.00	      9.55	    8.27	    0.00	    5.00	     0.00	     0.00	     0.00	  -238.63	  -238.63	  -238.63	    8.81	   10.32	    7.83	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.75	        100.00	        100.00	        449.75	        100.00	    0.69	    0.30	   12.54
2012	 11	  23	 55	 10.9965	    9.71	    0.00	      8.56	    8.33	    0.00	    6.00	     0.00	     0.00	     0.00	  -241.11	  -241.11	  -241.11	    7.05	    9.98	    7.33	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.76	        100.00	        100.00	        449.76	        100.00	    0.69	    0.30	   12.54
2012	 12	  23	 55	 11.9965	   10.38	    0.00	      7.88	    8.24	    0.00	    7.00	     0.00	     0.00	     0.00	  -243.87	  -243.87	  -243.87	    5.19	   11.29	    7.67	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.76	        100.00	        100.00	        449.76	        100.00	    0.69	    0.30	   12.54
2012	 13	  23	 55	 12.9965	   14.36	    0.00	      3.90	    7.37	    0.00	    8.00	     0.00	     0.00	     0.00	  -251.02	  -251.02	  -251.02	    2.54	    5.17	    8.42	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.77	        100.00	        100.00	        449.77	        100.00	    0.69	    0.30	   12.54
2012	 14	  23	 55	 13.9965	   15.65	    0.00	      2.61	    6.42	    0.00	    9.00	     0.00	     0.00	     0.00	  -259.45	  -259.45	  -259.45	    1.38	    3.75	    8.50	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.77	        100.00	        100.00	        449.77	        100.00	    0.69	    0.30	   12.54
2012	 15	  23	 55	 14.9965	   15.36	    0.00	      2.90	    5.72	    0.00	   10.00	     0.00	     0.00	     0.00	  -267.36	  -267.36	  -267.36	    1.94	    4.25	    8.50	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.77	        100.00	        100.00	        449.77	        100.00	    0.69	    0.30	   12.54
2012	 16	  23	 55	 15.9965	   14.93	    0.00	      3.33	    5.24	    0.00	   11.00	     0.00	     0.00	     0.00	  -274.64	  -274.64	  -274.64	    1.68	    5.75	    8.67	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.78	        100.00	        100.00	        449.78	        100.00	    0.69	    0.30	   12.54
2012	 17	  23	 55	 16.9965	   14.87	    0.00	      3.39	    4.87	    0.00	   12.00	     0.00	     0.00	     0.00	  -282.31	  -282.31	  -282.31	    1.50	    5.17	    8.42	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.78	        100.00	        100.00	        449.78	        100.00	    0.69	    0.30	   12.54
2012	 18	  23	 55	 17.9965	    9.24	    0.00	      9.02	    5.70	    0.40	    0.00	     0.00	     0.00	     0.00	  -284.85	  -284.85	  -284.85	    5.17	   11.75	    6.75	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.79	        100.00	        100.00	        449.79	        100.00	    0.69	    0.30	   12.54
