Year	DOY	Hour	Min	 Dectime	  HDD1_h	  HDD2_c	HDD3_Tmean	HDD4_T5d	   P_day	  DaysSR	GDD_EveTr	GDD_DecTr	GDD_Grass	SDD_EveTr	SDD_DecTr	SDD_Grass	    Tmin	    Tmax	   DLHrs	LAI_EveTr	LAI_DecTr	LAI_Grass	DecidCap	Porosity	AlbEveTr	AlbDecTr	AlbGrass	WU_EveTr1	WU_EveTr2	WU_EveTr3	WU_DecTr1	WU_DecTr2	WU_DecTr3	WU_Grass1	WU_Grass2	WU_Grass3	deltaLAI	LAIlumps	 AlbSnow	DensSnow_Paved	DensSnow_Bldgs	DensSnow_EveTr	DensSnow_DecTr	DensSnow_Grass	DensSnow_BSoil	DensSnow_Water	      a1	      a2	      a3
2012	  1	  23	 55	  0.9965	    7.92	    0.00	     10.35	    8.69	   11.20	    0.00	     0.00	     0.00	     0.00	  -228.61	  -228.61	  -228.61	    7.39	   11.54	    6.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.18	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        449.70	    0.34	    0.31	  -31.41
2012	  2	  23	 55	  1.9965	   12.69	    0.00	      5.57	    8.07	    0.00	    1.00	     0.00	     0.00	     0.00	  -233.88	  -233.88	  -233.88	    3.99	    7.47	    8.25	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.18	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        449.71	    0.34	    0.31	  -31.41
2012	  3	  23	 55	  2.9965	    9.80	    0.00	      8.46	    8.15	   13.60	    0.00	     0.00	     0.00	     0.00	  -236.42	  -236.42	  -236.42	    4.97	   11.97	    6.58	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.18	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        449.71	    0.34	    0.31	  -31.41
2012	  4	  23	 55	  3.9965	   11.72	    0.00	      6.55	    7.83	    4.00	    0.00	     0.00	     0.00	     0.00	  -240.98	  -240.98	  -240.98	    3.97	    8.90	    7.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.18	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        449.72	    0.34	    0.31	  -31.41
2012	  5	  23	 55	  4.9965	    8.97	    0.00	      9.29	    8.12	    3.60	    0.00	     0.00	     0.00	     0.00	  -243.07	  -243.07	  -243.07	    6.37	   11.47	    7.83	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.18	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        449.72	    0.34	    0.31	  -31.41
2012	  6	  23	 55	  5.9965	   12.01	    0.00	      6.26	    7.75	    0.00	    1.00	     0.00	     0.00	     0.00	  -248.43	  -248.43	  -248.43	    2.37	    8.92	    8.33	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.18	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        449.73	    0.34	    0.31	  -31.41
2012	  7	  23	 55	  6.9965	    9.52	    0.00	      8.74	    7.95	    0.00	    2.00	     0.00	     0.00	     0.00	  -251.31	  -251.31	  -251.31	    6.27	    9.97	    8.25	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.18	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        449.74	    0.34	    0.31	  -31.41
2012	  8	  23	 55	  7.9965	   10.14	    0.00	      8.13	    7.98	    0.00	    3.00	     0.00	     0.00	     0.00	  -253.95	  -253.95	  -253.95	    7.27	    9.47	    7.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.18	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        449.74	    0.34	    0.31	  -31.41
2012	  9	  23	 55	  8.9965	    8.67	    0.00	      9.60	    8.31	    0.00	    4.00	     0.00	     0.00	     0.00	  -255.78	  -255.78	  -255.78	    6.77	   11.57	    7.08	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.18	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        449.75	    0.34	    0.31	  -31.41
2012	 10	  23	 55	  9.9965	    8.92	    0.00	      9.34	    8.51	    0.00	    5.00	     0.00	     0.00	     0.00	  -257.32	  -257.32	  -257.32	    8.17	   10.77	    7.83	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.27	    0.18	        100.00	        100.00	        100.00	        100.00	        100.00	        100.00	        449.75	    0.34	    0.31	  -31.41
