Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	     gvf	  shadow	     svf	svfbuveg	      Ta	      Tg
2012	  1	   1	  0	  0.0417	   36.19	  -20.79	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  342.74	  412.13	  376.97	  376.97	  376.97	  376.97	   12.40	   11.34	    1.00	    0.00	    0.00	    0.97	    0.97	   11.35	   11.25
2012	  1	   2	  0	  0.0833	   21.17	  -18.59	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  343.06	  413.81	  377.97	  377.97	  377.97	  377.97	   12.59	   11.48	    1.00	    0.00	    0.00	    0.97	    0.97	   11.49	   11.41
2012	  1	   3	  0	  0.1250	   35.34	  -14.19	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  343.64	  413.04	  377.89	  377.89	  377.89	  377.89	   12.58	   11.40	    1.00	    0.00	    0.00	    0.97	    0.97	   11.40	   11.36
2012	  1	   4	  0	  0.1667	   48.45	   -7.94	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  343.28	  411.30	  376.84	  376.84	  376.84	  376.84	   12.38	   11.22	    1.00	    0.00	    0.00	    0.97	    0.97	   11.22	   11.23
2012	  1	   5	  0	  0.2083	   60.59	    0.15	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  342.79	  410.49	  375.69	  375.69	  375.69	  375.69	   12.17	   22.77	    0.79	    0.50	    0.50	    0.97	    0.97	   11.15	   11.15
2012	  1	   6	  0	  0.2500	   72.09	    8.39	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  341.73	  410.12	  374.47	  374.47	  374.47	  374.47	   11.95	  131.47	    0.35	    1.00	    1.00	    0.97	    0.97	   11.13	   11.10
2012	  1	   7	  0	  0.2917	   83.41	   17.45	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  339.24	  408.63	  372.47	  372.47	  372.47	  372.47	   11.57	  269.37	    0.24	    1.00	    1.00	    0.97	    0.97	   11.00	   10.97
2012	  1	   8	  0	  0.3333	   95.13	   26.77	     2.17	      0.00	     2.17	    2.10	    0.21	    2.17	    2.17	    2.17	    2.17	  337.09	  406.40	  370.28	  370.28	  370.28	  370.28	   11.43	  404.51	    0.18	    1.00	    1.00	    0.97	    0.97	   10.79	   10.77
2012	  1	   9	  0	  0.3750	  108.06	   35.90	    18.51	      0.00	    18.51	   17.91	    1.79	   18.51	   18.51	   18.51	   18.51	  335.83	  404.46	  368.70	  368.70	  368.70	  368.70	   13.24	  526.82	    0.16	    1.00	    1.00	    0.97	    0.97	   10.59	   10.63
2012	  1	  10	  0	  0.4167	  123.27	   44.30	    52.63	      0.00	    52.63	   50.92	    5.09	   52.63	   52.63	   52.63	   52.63	  335.37	  404.75	  368.59	  368.59	  368.59	  368.59	   17.48	  627.75	    0.18	    1.00	    1.00	    0.97	    0.97	   10.53	   10.74
