Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	     gvf	  shadow	     svf	svfbuveg	      Ta	      Tg
2011	  1	   1	  0	  0.0417	   36.20	  -20.85	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  316.13	  347.75	  330.07	  330.07	  330.07	  330.07	    3.11	    4.18	    1.00	    0.00	    0.00	    0.82	    0.82	    4.17	    6.14
2011	  1	   2	  0	  0.0833	   21.20	  -18.65	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  316.13	  346.89	  329.64	  329.64	  329.64	  329.64	    3.02	    4.18	    1.00	    0.00	    0.00	    0.82	    0.82	    4.17	    5.96
2011	  1	   3	  0	  0.1250	   35.37	  -14.24	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  312.26	  344.03	  325.75	  325.75	  325.75	  325.75	    2.22	    4.49	    1.00	    0.00	    0.00	    0.82	    0.82	    4.49	    5.05
2011	  1	   4	  0	  0.1667	   48.48	   -8.00	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  307.94	  345.22	  323.66	  323.66	  323.66	  323.66	    1.79	    4.71	    1.00	    0.00	    0.00	    0.82	    0.82	    4.71	    5.07
2011	  1	   5	  0	  0.2083	   60.63	    0.10	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  307.47	  344.98	  322.05	  322.05	  322.05	  322.05	    1.48	   19.38	    0.79	    0.50	    0.50	    0.82	    0.82	    4.67	    5.07
2011	  1	   6	  0	  0.2500	   72.14	    8.34	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  308.53	  344.68	  321.33	  321.33	  321.33	  321.33	    1.35	  132.20	    0.35	    1.00	    1.00	    0.82	    0.82	    4.45	    5.23
2011	  1	   7	  0	  0.2917	   83.45	   17.41	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  309.04	  348.02	  322.97	  322.97	  322.97	  322.97	    1.71	  271.40	    0.24	    1.00	    1.00	    0.82	    0.82	    4.21	    6.15
2011	  1	   8	  0	  0.3333	   95.18	   26.73	     0.61	      0.00	     0.61	    0.50	    0.05	    0.61	    0.61	    0.61	    0.61	  310.66	  353.35	  326.05	  326.05	  326.05	  326.05	    2.46	  407.53	    0.17	    1.00	    1.00	    0.82	    0.82	    4.06	    7.38
2011	  1	   9	  0	  0.3750	  108.11	   35.86	     4.48	      0.00	     4.48	    3.72	    0.37	    4.48	    4.48	    4.48	    4.48	  311.72	  355.64	  327.59	  327.59	  327.59	  327.59	    3.33	  530.62	    0.14	    1.00	    1.00	    0.82	    0.82	    4.07	    7.82
2011	  1	  10	  0	  0.4167	  123.33	   44.26	    15.90	      0.00	    15.90	   13.22	    1.32	   15.90	   15.90	   15.90	   15.90	  312.34	  356.73	  328.40	  328.40	  328.40	  328.40	    5.08	  632.13	    0.12	    1.00	    1.00	    0.82	    0.82	    4.27	    7.84
2011	  1	  11	  0	  0.4583	  142.09	   51.11	    55.32	      0.00	    55.32	   45.98	    4.60	   55.32	   55.32	   55.32	   55.32	  315.13	  362.76	  332.46	  332.46	  332.46	  332.46	   11.16	  704.77	    0.15	    1.00	    1.00	    0.82	    0.82	    4.58	    8.73
2011	  1	  12	  0	  0.5000	  165.04	   55.27	    79.01	      0.00	    79.01	   65.69	    6.57	   79.01	   79.01	   79.01	   79.01	  319.06	  368.06	  336.92	  336.92	  336.92	  336.92	   15.01	  743.50	    0.17	    1.00	    1.00	    0.82	    0.82	    4.98	    9.37
2011	  1	  13	  0	  0.5417	  190.31	   55.63	    52.72	      0.00	    52.72	   43.83	    4.38	   52.72	   52.72	   52.72	   52.72	  323.22	  373.06	  341.39	  341.39	  341.39	  341.39	   12.54	  745.91	    0.13	    1.00	    1.00	    0.82	    0.82	    5.60	    9.72
2011	  1	  14	  0	  0.5833	  213.91	   52.10	    28.43	      0.00	    28.43	   23.63	    2.36	   28.43	   28.43	   28.43	   28.43	  328.24	  375.94	  345.53	  345.53	  345.53	  345.53	   10.19	  711.76	    0.11	    1.00	    1.00	    0.82	    0.82	    5.97	    9.91
2011	  1	  15	  0	  0.6250	  233.44	   45.64	    13.90	      0.00	    13.90	   11.56	    1.16	   13.90	   13.90	   13.90	   13.90	  333.43	  375.82	  348.59	  348.59	  348.59	  348.59	    8.87	  643.62	    0.11	    1.00	    1.00	    0.82	    0.82	    5.97	    9.89
2011	  1	  16	  0	  0.6667	  249.20	   37.44	     4.78	      0.00	     4.78	    3.97	    0.40	    4.78	    4.78	    4.78	    4.78	  334.70	  376.94	  349.79	  349.79	  349.79	  349.79	    7.89	  546.94	    0.13	    1.00	    1.00	    0.82	    0.82	    6.07	   10.00
2011	  1	  17	  0	  0.7083	  262.45	   28.38	     0.51	      0.00	     0.51	    0.42	    0.04	    0.51	    0.51	    0.51	    0.51	  334.65	  376.84	  349.72	  349.72	  349.72	  349.72	    7.30	  427.67	    0.16	    1.00	    1.00	    0.82	    0.82	    6.17	    9.89
2011	  1	  18	  0	  0.7500	  274.33	   19.05	     0.01	      0.00	     0.01	    0.01	    0.00	    0.01	    0.01	    0.01	    0.01	  332.82	  369.22	  345.59	  345.59	  345.59	  345.59	    6.39	  293.88	    0.22	    1.00	    1.00	    0.82	    0.82	    5.95	    8.63
2011	  1	  19	  0	  0.7917	  285.66	    9.89	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  326.74	  358.98	  337.89	  337.89	  337.89	  337.89	    4.81	  155.29	    0.32	    1.00	    1.00	    0.82	    0.82	    5.17	    7.39
2011	  1	  20	  0	  0.8333	  297.09	    1.49	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  321.61	  353.95	  333.95	  333.95	  333.95	  333.95	    3.97	   31.44	    0.69	    0.67	    0.67	    0.82	    0.82	    4.56	    7.00
2011	  1	  21	  0	  0.8750	  309.09	   -6.76	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  317.30	  351.49	  332.55	  332.55	  332.55	  332.55	    3.63	    4.38	    1.00	    0.00	    0.00	    0.82	    0.82	    4.36	    6.71
2011	  1	  22	  0	  0.9167	  322.02	  -13.39	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  313.05	  347.82	  328.29	  328.29	  328.29	  328.29	    2.75	    4.12	    1.00	    0.00	    0.00	    0.82	    0.82	    4.10	    6.21
2011	  1	  23	  0	  0.9583	  336.02	  -18.20	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  308.51	  343.17	  323.37	  323.37	  323.37	  323.37	    1.72	    3.87	    1.00	    0.00	    0.00	    0.82	    0.82	    3.86	    5.51
2011	  2	   0	  0	  1.0000	  350.93	  -20.86	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  306.44	  338.82	  320.13	  320.13	  320.13	  320.13	    1.03	    3.50	    1.00	    0.00	    0.00	    0.82	    0.82	    3.49	    4.97
2011	  2	   1	  0	  1.0417	   36.24	  -21.11	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  304.24	  337.80	  318.47	  318.47	  318.47	  318.47	    0.67	    3.17	    1.00	    0.00	    0.00	    0.82	    0.82	    3.16	    5.10
2011	  2	   2	  0	  1.0833	   21.28	  -18.90	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  302.72	  334.03	  315.74	  315.74	  315.74	  315.74	    0.09	    3.02	    1.00	    0.00	    0.00	    0.82	    0.82	    3.01	    4.45
2011	  2	   3	  0	  1.1250	   35.49	  -14.47	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  300.93	  331.81	  313.63	  313.63	  313.63	  313.63	   -0.37	    2.87	    1.00	    0.00	    0.00	    0.82	    0.82	    2.86	    4.14
