Year	DOY	Hour	Min	 Dectime	  HDD1_h	  HDD2_c	HDD3_Tmean	HDD4_T5d	   P_day	  DaysSR	GDD_EveTr	GDD_DecTr	GDD_Grass	SDD_EveTr	SDD_DecTr	SDD_Grass	    Tmin	    Tmax	   DLHrs	LAI_EveTr	LAI_DecTr	LAI_Grass	DecidCap	Porosity	AlbEveTr	AlbDecTr	AlbGrass	WU_EveTr1	WU_EveTr2	WU_EveTr3	WU_DecTr1	WU_DecTr2	WU_DecTr3	WU_Grass1	WU_Grass2	WU_Grass3	deltaLAI	LAIlumps	 AlbSnow	DensSnow_Paved	DensSnow_Bldgs	DensSnow_EveTr	DensSnow_DecTr	DensSnow_Grass	DensSnow_BSoil	DensSnow_Water	      a1	      a2	      a3
2011	  1	  23	 55	  0.9965	   14.18	    0.00	      4.02	    4.02	    0.20	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    2.27	    5.29	    5.33	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.29	        100.00	        100.00	          8.98	        100.00	        100.00	          8.98	        100.00	    0.69	    0.30	   12.54
2011	  2	  23	 55	  1.9965	   16.93	    0.00	      1.33	    2.68	    0.00	    1.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    0.62	    2.25	    7.83	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.28	        100.00	        100.00	         17.71	        100.00	        100.00	         17.71	        100.00	    0.69	    0.30	   12.54
2011	  3	  23	 55	  2.9965	   16.78	    0.00	      1.49	    2.28	    0.00	    2.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    0.46	    2.19	    7.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.27	        100.00	        100.00	         26.27	        100.00	        100.00	         26.27	        100.00	    0.69	    0.30	   12.54
2011	  4	  23	 55	  3.9965	   16.17	    0.00	      2.09	    2.23	    0.00	    3.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    1.06	    3.47	    7.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.26	        100.00	        100.00	         34.66	        100.00	        100.00	         34.66	        100.00	    0.69	    0.30	   12.54
2011	  5	  23	 55	  4.9965	   13.96	    0.00	      4.30	    2.65	    0.60	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    2.71	    6.30	    6.92	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.25	        100.00	        100.00	         42.89	        100.00	        100.00	         42.89	        100.00	    0.69	    0.30	   12.54
2011	  6	  23	 55	  5.9965	   14.61	    0.00	      3.65	    2.85	   12.20	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    1.84	    6.19	    6.42	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.25	        100.00	        100.00	         50.95	        100.00	        100.00	         50.95	        100.00	    0.69	    0.30	   12.54
2011	  7	  23	 55	  6.9965	   12.88	    0.00	      5.39	    3.36	    9.80	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    1.81	    8.88	    6.25	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.24	        100.00	        100.00	         58.85	        100.00	        100.00	         58.85	        100.00	    0.69	    0.30	   12.54
2011	  8	  23	 55	  7.9965	   12.13	    0.00	      6.13	    3.91	    4.00	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    2.13	    8.65	    7.67	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.23	        100.00	        100.00	         66.59	        100.00	        100.00	         66.59	        100.00	    0.69	    0.30	   12.54
2011	  9	  23	 55	  8.9965	   15.22	    0.00	      3.04	    3.74	    0.00	    1.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    1.17	    5.71	    8.33	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.23	        100.00	        100.00	         74.19	        100.00	        100.00	         74.19	        100.00	    0.69	    0.30	   12.54
2011	 10	  23	 55	  9.9965	   14.11	    0.00	      4.15	    3.82	    0.80	    0.00	     0.00	     0.00	     0.00	  -450.00	  -450.00	  -450.00	    1.53	    6.10	    8.00	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.22	        100.00	        100.00	         81.63	        100.00	        100.00	         81.63	        100.00	    0.69	    0.30	   12.54
