Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	     gvf	  shadow	     svf	svfbuveg	      Ta	      Tg
2011	  1	   1	  0	  0.0417	   36.56	  -20.63	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  294.15	  338.29	  312.06	  312.06	  312.06	  312.06	   -0.67	    4.46	    1.00	    0.00	    0.00	    0.82	    0.82	    4.50	    3.85
2011	  1	   2	  0	  0.0833	   21.52	  -18.38	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  294.55	  335.02	  310.72	  310.72	  310.72	  310.72	   -0.97	    4.31	    1.00	    0.00	    0.00	    0.82	    0.82	    4.37	    3.30
2011	  1	   3	  0	  0.1250	   35.66	  -13.95	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  294.48	  326.32	  306.40	  306.40	  306.40	  306.40	   -1.92	    3.99	    1.00	    0.00	    0.00	    0.82	    0.82	    4.22	    1.61
2011	  1	   4	  0	  0.1667	   48.76	   -7.69	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  293.87	  326.13	  305.98	  305.98	  305.98	  305.98	   -2.01	    3.94	    1.00	    0.00	    0.00	    0.82	    0.82	    4.14	    1.65
2011	  1	   5	  0	  0.2083	   60.91	    0.40	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  294.29	  329.18	  307.15	  307.15	  307.15	  307.15	   -1.74	   21.11	    0.77	    0.58	    0.58	    0.82	    0.82	    3.99	    2.45
2011	  1	   6	  0	  0.2500	   72.43	    8.61	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  294.39	  328.39	  306.41	  306.41	  306.41	  306.41	   -1.89	  136.96	    0.34	    1.00	    1.00	    0.82	    0.82	    3.79	    2.49
2011	  1	   7	  0	  0.2917	   83.79	   17.65	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  294.63	  328.66	  306.66	  306.66	  306.66	  306.66	   -1.84	  276.19	    0.23	    1.00	    1.00	    0.82	    0.82	    3.68	    2.65
2011	  1	   8	  0	  0.3333	   95.57	   26.93	     0.61	      0.00	     0.61	    0.50	    0.05	    0.61	    0.61	    0.61	    0.61	  296.30	  330.98	  308.58	  308.58	  308.58	  308.58	   -1.32	  411.97	    0.17	    1.00	    1.00	    0.82	    0.82	    3.76	    3.06
2011	  1	   9	  0	  0.3750	  108.58	   36.00	     4.48	      0.00	     4.48	    3.72	    0.37	    4.48	    4.48	    4.48	    4.48	  298.67	  334.42	  311.36	  311.36	  311.36	  311.36	   -0.14	  534.34	    0.14	    1.00	    1.00	    0.82	    0.82	    3.98	    3.57
2011	  1	  10	  0	  0.4167	  123.89	   44.33	    15.90	      0.00	    15.90	   13.22	    1.32	   15.90	   15.90	   15.90	   15.90	  301.06	  337.90	  314.18	  314.18	  314.18	  314.18	    2.10	  634.84	    0.12	    1.00	    1.00	    0.82	    0.82	    4.21	    4.06
