Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	   UStar	     Lob	      Fc	      Ts	      T2	      Q2	     U10	     RH2
2012	  1	   1	  0	  0.0417	    0.14	    0.02	  344.24	  371.39	   11.69	  -27.03	   44.11	   21.99	  -13.75	    8.83	    0.00	    0.00	    0.01	    0.03	   -0.04	   -0.04	    2.94	     0.16	    0.03	   37.19	  109.93	   13.49	    0.11	    0.63	    0.07	    0.68	 2006.28	    0.00	   11.05	   11.67	    7.40	    2.32	   86.09
2012	  1	   2	  0	  0.0833	    0.02	    0.00	  344.55	  372.08	   11.82	  -27.51	   37.09	   16.41	  -13.68	    6.86	    0.00	    0.00	    0.01	    0.01	   -0.02	   -0.02	    2.92	     0.14	    0.02	   37.19	  106.63	   28.14	    0.11	    0.62	    0.07	    0.58	 1289.08	    0.00	   11.11	   11.80	    7.42	    1.98	   85.64
2012	  1	   3	  0	  0.1250	    0.00	    0.00	  345.17	  371.68	   11.73	  -26.51	   36.44	   17.14	  -13.19	    5.98	    0.00	    0.00	    0.01	    0.01	   -0.02	   -0.02	    2.90	     0.12	    0.01	   37.19	  101.31	   41.81	    0.11	    0.63	    0.07	    0.60	 1494.68	    0.00	   11.07	   11.71	    7.46	    2.06	   86.59
2012	  1	   4	  0	  0.1667	    0.00	    0.00	  344.82	  370.77	   11.56	  -25.95	   36.80	   18.58	  -13.07	    5.34	    0.00	    0.00	    0.01	    0.01	   -0.01	   -0.01	    2.88	     0.11	    0.01	   37.19	   94.18	   54.43	    0.11	    0.64	    0.07	    0.62	 1657.98	    0.00	   10.91	   11.53	    7.43	    2.13	   87.26
2012	  1	   5	  0	  0.2083	    0.00	    0.00	  343.32	  370.35	   11.49	  -27.03	   39.34	   20.21	  -13.63	    5.74	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    2.87	     0.10	    0.01	   37.19	   86.01	   66.22	    0.11	    0.63	    0.07	    0.66	 1874.56	    0.00	   10.85	   11.47	    7.33	    2.26	   86.39
2012	  1	   6	  0	  0.2500	    0.00	    0.00	  341.24	  370.12	   11.47	  -28.88	   48.71	   26.18	  -12.80	    6.45	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    2.86	     0.09	    0.00	   37.19	   77.28	   77.58	    0.11	    0.61	    0.07	    0.66	 1965.09	    0.00	   10.87	   11.45	    7.18	    2.25	   84.80
2012	  1	   7	  0	  0.2917	    0.00	    0.00	  338.70	  369.30	   11.34	  -30.60	   73.05	   43.35	   -8.01	    7.11	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    2.85	     0.08	    0.00	   37.19	   68.06	   89.01	    0.11	    0.59	    0.07	    0.62	 2824.28	    0.00	   10.94	   11.32	    7.01	    2.14	   83.40
2012	  1	   8	  0	  0.3333	    2.17	    0.24	  336.54	  368.30	   11.16	  -29.83	   98.66	   63.72	   -2.62	    7.72	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    2.83	     0.07	    0.00	   37.19	   58.80	  101.21	    0.11	    0.58	    0.07	    0.62	 1921.21	    0.00	   11.00	   11.12	    6.86	    2.16	   82.69
2012	  1	   9	  0	  0.3750	   18.51	    2.04	  335.30	  368.38	   11.19	  -16.61	  107.27	   80.20	    2.51	    7.94	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    2.82	     0.07	    0.00	   37.19	   49.96	  115.06	    0.11	    0.57	    0.07	    0.57	-4049.53	    0.00	   11.05	   10.92	    6.77	    2.03	   82.74
2012	  1	  10	  0	  0.4167	   52.63	    5.81	  334.81	  370.49	   11.63	   11.13	  104.30	   98.26	    8.02	    9.15	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    2.81	     0.06	    0.00	   37.18	   42.18	  131.79	    0.11	    0.57	    0.07	    0.59	-2342.53	    0.00	   11.26	   10.87	    6.74	    2.11	   82.61
