Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	     gvf	  shadow	     svf	svfbuveg	      Ta	      Tg
2011	  1	   1	  0	  0.0417	   36.20	  -20.85	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  313.09	  330.55	  321.46	  321.46	  321.46	  321.46	    1.25	    3.86	    1.00	    0.00	    0.00	    0.97	    0.97	    4.16	    2.57
2011	  1	   2	  0	  0.0833	   21.20	  -18.65	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  313.09	  331.15	  321.76	  321.76	  321.76	  321.76	    1.32	    3.86	    1.00	    0.00	    0.00	    0.97	    0.97	    4.16	    2.69
2011	  1	   3	  0	  0.1250	   35.37	  -14.24	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  308.36	  340.60	  324.02	  324.02	  324.02	  324.02	    1.80	    4.45	    1.00	    0.00	    0.00	    0.97	    0.97	    4.49	    4.35
2011	  1	   4	  0	  0.1667	   48.48	   -8.00	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  303.19	  339.53	  320.80	  320.80	  320.80	  320.80	    1.12	    4.56	    1.00	    0.00	    0.00	    0.97	    0.97	    4.71	    3.90
2011	  1	   5	  0	  0.2083	   60.63	    0.10	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  300.56	  337.50	  318.29	  318.29	  318.29	  318.29	    0.59	   19.28	    0.79	    0.50	    0.50	    0.97	    0.97	    4.66	    3.53
2011	  1	   6	  0	  0.2500	   72.14	    8.34	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  299.67	  335.23	  316.59	  316.59	  316.59	  316.59	    0.22	  132.20	    0.35	    1.00	    1.00	    0.97	    0.97	    4.44	    3.27
2011	  1	   7	  0	  0.2917	   83.45	   17.41	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  299.54	  333.29	  315.59	  315.59	  315.59	  315.59	    0.01	  271.41	    0.24	    1.00	    1.00	    0.97	    0.97	    4.21	    3.10
2011	  1	   8	  0	  0.3333	   95.18	   26.73	     0.61	      0.00	     0.61	    0.59	    0.06	    0.61	    0.61	    0.61	    0.61	  300.33	  332.61	  315.67	  315.67	  315.67	  315.67	    0.11	  407.53	    0.17	    1.00	    1.00	    0.97	    0.97	    4.05	    3.11
2011	  1	   9	  0	  0.3750	  108.11	   35.86	     4.48	      0.00	     4.48	    4.33	    0.43	    4.48	    4.48	    4.48	    4.48	  301.15	  333.74	  316.64	  316.64	  316.64	  316.64	    0.89	  530.62	    0.14	    1.00	    1.00	    0.97	    0.97	    4.07	    3.33
2011	  1	  10	  0	  0.4167	  123.33	   44.26	    15.90	      0.00	    15.90	   15.39	    1.54	   15.90	   15.90	   15.90	   15.90	  301.77	  337.42	  318.73	  318.73	  318.73	  318.73	    2.97	  632.14	    0.12	    1.00	    1.00	    0.97	    0.97	    4.27	    3.90
2011	  1	  11	  0	  0.4583	  142.09	   51.11	    55.32	      0.00	    55.32	   53.53	    5.35	   55.32	   55.32	   55.32	   55.32	  304.04	  344.76	  323.45	  323.45	  323.45	  323.45	    9.35	  704.77	    0.15	    1.00	    1.00	    0.97	    0.97	    4.58	    5.11
