Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	   UStar	     Lob	      Fc	      Ts	      T2	      Q2	     U10	     RH2
2011	  1	   1	  0	  0.0417	    0.00	    0.00	  312.37	  335.04	    4.16	  -22.67	    0.04	   -2.16	  -10.09	  -23.83	    0.00	    0.00	   -0.03	    0.58	    0.10	    0.10	    0.00	     0.00	    0.00	   30.00	  110.23	   13.17	    0.19	    0.71	    0.79	    0.15	    7.84	    0.00	    2.57	    2.23	    2.16	    3.57	   48.19
2011	  1	   2	  0	  0.0833	    0.00	    0.00	  312.37	  335.13	    4.16	  -22.77	    0.04	   -0.05	   -8.14	  -21.08	    0.00	    0.00	   -0.03	    0.52	    0.00	    0.00	    0.00	     0.00	    0.00	   30.00	  106.96	   27.86	    0.19	    0.71	    0.79	    0.15	    6.60	    0.00	    2.69	    2.24	    2.48	    3.40	   54.65
2011	  1	   3	  0	  0.1250	    0.00	    0.00	  307.44	  334.96	    4.49	  -27.52	    0.04	  -27.14	   -0.60	    0.25	    0.00	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.10	     0.10	    0.00	   30.00	  101.65	   41.56	    0.19	    0.63	    0.79	    0.15	  -22.95	    0.00	    4.35	    4.26	    4.87	    3.00	   95.61
2011	  1	   4	  0	  0.1667	    0.00	    0.00	  302.07	  335.60	    4.71	  -33.53	    0.04	  -28.59	   -5.17	    0.27	    0.00	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.10	     0.10	    0.00	   29.99	   94.59	   54.19	    0.19	    0.56	    0.79	    0.15	    9.90	    0.00	    3.90	    3.75	    4.65	    3.73	   94.56
2011	  1	   5	  0	  0.2083	    0.00	    0.00	  299.08	  335.20	    4.66	  -36.11	    0.04	  -29.06	   -7.29	    0.27	    0.00	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.10	     0.10	    0.00	   29.99	   86.32	   65.98	    0.19	    0.53	    0.79	    0.15	    9.90	    0.00	    3.53	    3.31	    4.51	    3.73	   94.46
2011	  1	   6	  0	  0.2500	    0.00	    0.00	  297.96	  334.14	    4.44	  -36.18	    0.05	  -28.82	   -7.56	    0.24	    0.00	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.09	     0.09	    0.00	   29.99	   77.58	   77.31	    0.19	    0.53	    0.79	    0.15	    9.90	    0.00	    3.27	    3.05	    4.44	    3.73	   94.94
2011	  1	   7	  0	  0.2917	    0.00	    0.00	  297.89	  333.06	    4.21	  -35.17	    0.07	  -28.14	   -7.12	    0.16	    0.00	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.09	     0.09	    0.00	   29.99	   68.33	   88.70	    0.19	    0.54	    0.79	    0.15	    9.90	    0.00	    3.10	    2.89	    4.43	    3.73	   95.60
2011	  1	   8	  0	  0.3333	    0.61	    0.12	  298.72	  332.46	    4.06	  -33.25	    0.10	  -27.36	   -6.07	    0.28	    0.00	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.09	     0.09	    0.00	   29.99	   59.02	  100.84	    0.19	    0.56	    0.79	    0.15	    9.90	    0.00	    3.11	    2.93	    4.48	    3.73	   96.36
2011	  1	   9	  0	  0.3750	    4.48	    0.85	  299.53	  332.84	    4.13	  -29.69	    0.11	  -26.13	   -4.75	    1.30	    0.00	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.09	     0.09	    0.00	   29.98	   50.12	  114.61	    0.19	    0.57	    0.79	    0.15	    9.90	    0.00	    3.33	    3.19	    4.64	    3.73	   98.03
2011	  1	  10	  0	  0.4167	   15.90	    3.03	  300.05	  334.52	    4.50	  -21.60	    0.10	  -23.91	   -2.39	    4.80	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    0.08	     0.08	    0.00	   29.98	   42.26	  131.24	    0.19	    0.56	    0.79	    0.15	  -16.79	    0.00	    3.90	    3.84	    4.78	    3.15	   96.68
2011	  1	  11	  0	  0.4583	   55.32	   10.55	  302.14	  338.60	    5.37	    8.31	    0.10	  -15.50	    7.85	   16.06	    0.00	    0.00	    0.02	    0.00	   -0.02	   -0.02	    0.05	     0.05	    0.00	   29.98	   36.43	  151.96	    0.19	    0.57	    0.79	    0.15	  -24.51	    0.00	    5.11	    4.70	    4.79	    1.86	   91.10
2011	  1	  12	  0	  0.5000	   79.01	   15.06	  305.75	  342.20	    6.10	   27.50	    0.11	   -9.43	   14.95	   22.09	    0.00	    0.00	    0.03	    0.00	   -0.03	   -0.03	    0.02	     0.02	    0.00	   29.98	   33.88	  176.54	    0.19	    0.59	    0.79	    0.15	  -12.14	    0.00	    5.85	    5.18	    5.00	    1.78	   92.03
2011	  1	  13	  0	  0.5417	   52.72	   10.05	  309.70	  343.58	    6.34	    8.79	    0.10	  -14.85	    7.79	   15.95	    0.00	    0.00	    0.02	    0.00	   -0.02	   -0.02	    0.00	     0.00	    0.00	   29.98	   35.39	  201.70	    0.19	    0.60	    0.79	    0.15	  -17.18	    0.00	    6.11	    5.72	    5.19	    1.84	   91.96
2011	  1	  14	  0	  0.5833	   28.43	    5.42	  315.10	  344.05	    6.36	   -5.94	    0.10	  -20.71	    4.96	    9.91	    0.00	    0.00	    0.01	    0.00	   -0.01	    0.00	    0.00	     0.00	    0.00	   30.00	   40.48	  223.58	    0.19	    0.64	    0.79	    0.15	  -27.43	    0.00	    6.33	    6.06	    5.43	    1.91	   93.96
2011	  1	  15	  0	  0.6250	   13.90	    2.65	  321.33	  343.53	    6.16	  -10.95	    0.10	  -23.12	    7.23	    5.05	    0.00	    0.00	    0.01	    0.00	   -0.01	    0.00	    0.00	     0.00	    0.00	   30.01	   47.91	  241.19	    0.19	    0.71	    0.79	    0.15	  -29.38	    0.00	    6.43	    6.10	    5.68	    1.92	   97.87
2011	  1	  16	  0	  0.6667	    4.78	    0.91	  322.61	  343.52	    6.14	  -17.05	    0.11	  -24.92	    5.97	    2.02	    0.00	    0.00	    0.00	    0.00	   -0.00	    0.00	    0.00	     0.00	    0.00	   30.01	   56.62	  255.59	    0.19	    0.72	    0.79	    0.15	  -55.82	    0.00	    6.45	    6.20	    5.71	    2.03	   97.78
2011	  1	  17	  0	  0.7083	    0.51	    0.10	  322.58	  343.66	    6.17	  -20.68	    0.11	  -25.92	    4.83	    0.52	    0.20	    0.00	    0.00	    0.00	    0.20	    0.20	    0.20	     0.20	    0.00	   30.01	   65.89	  268.05	    0.19	    0.71	    0.79	    0.15	  -41.62	    0.00	    6.51	    6.26	    5.69	    1.95	   97.13
2011	  1	  18	  0	  0.7500	    0.01	    0.00	  321.94	  342.59	    5.94	  -20.64	    0.09	  -25.60	    4.55	    0.50	    0.00	    0.00	    0.00	    0.00	   -0.00	   -0.01	    0.19	     0.19	    0.01	   30.00	   75.21	  279.56	    0.19	    0.72	    0.79	    0.18	 -116.55	    0.00	    6.23	    6.05	    5.64	    2.42	   97.73
2011	  1	  19	  0	  0.7917	    0.00	    0.00	  316.78	  338.68	    5.17	  -21.90	    0.08	  -25.55	    3.30	    0.44	    0.00	    0.00	    0.00	    0.00	   -0.00	   -0.01	    0.18	     0.18	    0.01	   30.00	   84.17	  290.84	    0.19	    0.70	    0.79	    0.18	 -149.11	    0.00	    5.37	    5.25	    5.34	    2.46	   97.72
2011	  1	  20	  0	  0.8333	    0.00	    0.00	  313.92	  335.70	    4.55	  -21.78	    0.07	  -25.27	    3.28	    0.29	    0.00	    0.00	    0.00	    0.00	   -0.00	   -0.01	    0.18	     0.18	    0.00	   29.99	   92.07	  302.46	    0.19	    0.71	    0.79	    0.15	  -23.73	    0.00	    4.87	    4.61	    5.15	    1.86	   98.72
2011	  1	  21	  0	  0.8750	    0.00	    0.00	  313.58	  334.77	    4.35	  -21.19	    0.07	  -24.85	    3.51	    0.21	    0.00	    0.00	    0.00	    0.00	   -0.00	   -0.01	    0.17	     0.17	    0.00	   29.99	  100.10	  314.84	    0.19	    0.71	    0.79	    0.15	  -25.43	    0.00	    4.66	    4.41	    5.12	    1.87	   99.43
