Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	     gvf	  shadow	     svf	svfbuveg	      Ta	      Tg
2011	  1	   1	  0	  0.0417	   36.20	  -20.85	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  316.11	  342.71	  327.54	  327.54	  327.54	  327.54	    2.58	    4.17	    1.00	    0.00	    0.00	    0.82	    0.82	    4.16	    5.11
2011	  1	   2	  0	  0.0833	   21.20	  -18.65	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  316.11	  343.28	  327.82	  327.82	  327.82	  327.82	    2.64	    4.17	    1.00	    0.00	    0.00	    0.82	    0.82	    4.16	    5.22
2011	  1	   3	  0	  0.1250	   35.37	  -14.24	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  312.24	  333.06	  320.25	  320.25	  320.25	  320.25	    1.05	    4.29	    1.00	    0.00	    0.00	    0.82	    0.82	    4.49	    2.77
2011	  1	   4	  0	  0.1667	   48.48	   -8.00	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  307.91	  333.95	  318.01	  318.01	  318.01	  318.01	    0.58	    4.50	    1.00	    0.00	    0.00	    0.82	    0.82	    4.71	    2.74
2011	  1	   5	  0	  0.2083	   60.63	    0.10	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  306.43	  333.26	  316.17	  316.17	  316.17	  316.17	    0.20	   19.26	    0.79	    0.50	    0.50	    0.82	    0.82	    4.66	    2.64
2011	  1	   6	  0	  0.2500	   72.14	    8.34	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  306.62	  333.64	  315.80	  315.80	  315.80	  315.80	    0.14	  132.20	    0.35	    1.00	    1.00	    0.82	    0.82	    4.44	    2.94
2011	  1	   7	  0	  0.2917	   83.45	   17.41	     0.00	      0.00	     0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	  306.76	  334.80	  316.34	  316.34	  316.34	  316.34	    0.26	  271.41	    0.24	    1.00	    1.00	    0.82	    0.82	    4.21	    3.42
2011	  1	   8	  0	  0.3333	   95.18	   26.73	     0.61	      0.00	     0.61	    0.50	    0.05	    0.61	    0.61	    0.61	    0.61	  307.61	  335.67	  317.20	  317.20	  317.20	  317.20	    0.53	  407.53	    0.17	    1.00	    1.00	    0.82	    0.82	    4.05	    3.75
2011	  1	   9	  0	  0.3750	  108.11	   35.86	     4.48	      0.00	     4.48	    3.72	    0.37	    4.48	    4.48	    4.48	    4.48	  308.57	  337.37	  318.45	  318.45	  318.45	  318.45	    1.36	  530.62	    0.14	    1.00	    1.00	    0.82	    0.82	    4.07	    4.09
2011	  1	  10	  0	  0.4167	  123.33	   44.26	    15.90	      0.00	    15.90	   13.22	    1.32	   15.90	   15.90	   15.90	   15.90	  309.43	  339.82	  319.93	  319.93	  319.93	  319.93	    3.29	  632.14	    0.12	    1.00	    1.00	    0.82	    0.82	    4.27	    4.40
2011	  1	  11	  0	  0.4583	  142.09	   51.11	    55.32	      0.00	    55.32	   45.98	    4.60	   55.32	   55.32	   55.32	   55.32	  312.25	  346.08	  324.11	  324.11	  324.11	  324.11	    9.51	  704.77	    0.15	    1.00	    1.00	    0.82	    0.82	    4.58	    5.38
2011	  1	  12	  0	  0.5000	  165.04	   55.27	    79.01	      0.00	    79.01	   65.69	    6.57	   79.01	   79.01	   79.01	   79.01	  316.22	  351.59	  328.67	  328.67	  328.67	  328.67	   13.45	  743.50	    0.17	    1.00	    1.00	    0.82	    0.82	    4.98	    6.10
2011	  1	  13	  0	  0.5417	  190.31	   55.63	    52.72	      0.00	    52.72	   43.83	    4.38	   52.72	   52.72	   52.72	   52.72	  320.33	  356.31	  333.00	  333.00	  333.00	  333.00	   10.91	  745.92	    0.13	    1.00	    1.00	    0.82	    0.82	    5.59	    6.43
2011	  1	  14	  0	  0.5833	  213.91	   52.10	    28.43	      0.00	    28.43	   23.63	    2.36	   28.43	   28.43	   28.43	   28.43	  325.37	  359.33	  337.22	  337.22	  337.22	  337.22	    8.53	  711.76	    0.11	    1.00	    1.00	    0.82	    0.82	    5.96	    6.67
