Year	DOY	Hour	Min	 Dectime	  HDD1_h	  HDD2_c	HDD3_Tmean	HDD4_T5d	   P_day	  DaysSR	GDD_EveTr	GDD_DecTr	GDD_Grass	SDD_EveTr	SDD_DecTr	SDD_Grass	    Tmin	    Tmax	   DLHrs	LAI_EveTr	LAI_DecTr	LAI_Grass	DecidCap	Porosity	AlbEveTr	AlbDecTr	AlbGrass	WU_EveTr1	WU_EveTr2	WU_EveTr3	WU_DecTr1	WU_DecTr2	WU_DecTr3	WU_Grass1	WU_Grass2	WU_Grass3	deltaLAI	LAIlumps	 AlbSnow	DensSnow_Paved	DensSnow_Bldgs	DensSnow_EveTr	DensSnow_DecTr	DensSnow_Grass	DensSnow_BSoil	DensSnow_Water	      a1	      a2	      a3
2012	  1	  23	 55	  0.9965	    7.93	    0.00	     10.34	    8.69	   11.20	    0.00	     0.00	     0.00	     0.00	  -228.84	  -228.84	  -228.84	    7.38	   11.53	    6.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.70	        100.00	        100.00	        449.70	        100.00	    0.69	    0.30	   12.54
2012	  2	  23	 55	  1.9965	   12.70	    0.00	      5.56	    8.06	    0.00	    1.00	     0.00	     0.00	     0.00	  -234.12	  -234.12	  -234.12	    3.98	    7.46	    8.25	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.71	        100.00	        100.00	        449.71	        100.00	    0.69	    0.30	   12.54
2012	  3	  23	 55	  2.9965	    9.81	    0.00	      8.46	    8.14	   13.60	    0.00	     0.00	     0.00	     0.00	  -236.66	  -236.66	  -236.66	    4.96	   11.96	    6.58	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.71	        100.00	        100.00	        449.71	        100.00	    0.69	    0.30	   12.54
2012	  4	  23	 55	  3.9965	   11.72	    0.00	      6.54	    7.82	    4.00	    0.00	     0.00	     0.00	     0.00	  -241.24	  -241.24	  -241.24	    3.96	    8.89	    7.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.72	        100.00	        100.00	        449.72	        100.00	    0.69	    0.30	   12.54
2012	  5	  23	 55	  4.9965	    8.98	    0.00	      9.28	    8.11	    3.60	    0.00	     0.00	     0.00	     0.00	  -243.33	  -243.33	  -243.33	    6.36	   11.46	    7.83	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.72	        100.00	        100.00	        449.72	        100.00	    0.69	    0.30	   12.54
2012	  6	  23	 55	  5.9965	   12.01	    0.00	      6.25	    7.74	    0.00	    1.00	     0.00	     0.00	     0.00	  -248.70	  -248.70	  -248.70	    2.36	    8.91	    8.33	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.73	        100.00	        100.00	        449.73	        100.00	    0.69	    0.30	   12.54
2012	  7	  23	 55	  6.9965	    9.53	    0.00	      8.73	    7.94	    0.00	    2.00	     0.00	     0.00	     0.00	  -251.59	  -251.59	  -251.59	    6.26	    9.96	    8.25	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.74	        100.00	        100.00	        449.74	        100.00	    0.69	    0.30	   12.54
2012	  8	  23	 55	  7.9965	   10.14	    0.00	      8.12	    7.98	    0.00	    3.00	     0.00	     0.00	     0.00	  -254.23	  -254.23	  -254.23	    7.26	    9.46	    7.17	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.74	        100.00	        100.00	        449.74	        100.00	    0.69	    0.30	   12.54
2012	  9	  23	 55	  8.9965	    8.67	    0.00	      9.59	    8.30	    0.00	    4.00	     0.00	     0.00	     0.00	  -256.07	  -256.07	  -256.07	    6.76	   11.56	    7.08	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.75	        100.00	        100.00	        449.75	        100.00	    0.69	    0.30	   12.54
2012	 10	  23	 55	  9.9965	    8.93	    0.00	      9.34	    8.51	    0.00	    5.00	     0.00	     0.00	     0.00	  -257.61	  -257.61	  -257.61	    8.16	   10.76	    7.83	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.75	        100.00	        100.00	        449.75	        100.00	    0.69	    0.30	   12.54
2012	 11	  23	 55	 10.9965	    9.98	    0.00	      8.28	    8.46	    0.00	    6.00	     0.00	     0.00	     0.00	  -260.26	  -260.26	  -260.26	    6.46	   10.26	    7.33	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.76	        100.00	        100.00	        449.76	        100.00	    0.69	    0.30	   12.54
2012	 12	  23	 55	 11.9965	   10.72	    0.00	      7.55	    8.28	    0.00	    7.00	     0.00	     0.00	     0.00	  -264.35	  -264.35	  -264.35	    1.86	   11.96	    7.67	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.76	        100.00	        100.00	        449.76	        100.00	    0.69	    0.30	   12.54
2012	 13	  23	 55	 12.9965	   17.50	    0.00	      0.76	    6.77	    0.00	    8.00	     0.00	     0.00	     0.00	  -273.82	  -273.82	  -273.82	   -3.11	    6.16	    8.42	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.77	        100.00	        100.00	        449.77	        100.02	    0.69	    0.30	   12.54
2012	 14	  23	 55	 13.9965	   19.92	    0.00	     -1.66	    5.09	    0.00	    9.00	     0.00	     0.00	     0.00	  -284.61	  -284.61	  -284.61	   -4.94	    5.36	    8.50	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.77	        100.00	        100.00	        449.77	        100.02	    0.69	    0.30	   12.54
2012	 15	  23	 55	 14.9965	   16.72	    0.00	      1.55	    4.38	    0.00	   10.00	     0.00	     0.00	     0.00	  -293.81	  -293.81	  -293.81	   -2.14	    5.76	    8.50	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.77	        100.00	        100.00	        449.77	        100.00	    0.69	    0.30	   12.54
2012	 16	  23	 55	 15.9965	   17.46	    0.00	      0.80	    3.66	    0.00	   11.00	     0.00	     0.00	     0.00	  -302.90	  -302.90	  -302.90	   -3.34	    7.16	    8.67	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.78	        100.00	        100.00	        449.78	        100.00	    0.69	    0.30	   12.54
2012	 17	  23	 55	 16.9965	   17.68	    0.00	      0.58	    3.05	    0.00	   12.00	     0.00	     0.00	     0.00	  -313.54	  -313.54	  -313.54	   -4.74	    5.46	    8.42	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.78	        100.00	        100.00	        449.78	        100.00	    0.69	    0.30	   12.54
2012	 18	  23	 55	 17.9965	    9.39	    0.00	      8.87	    4.21	    0.40	    0.00	     0.00	     0.00	     0.00	  -316.63	  -316.63	  -316.63	    4.36	   11.46	    6.75	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.79	        100.00	        100.00	        449.79	        100.00	    0.69	    0.30	   12.54
2012	 19	  23	 55	 18.9965	    8.91	    0.00	      9.36	    5.24	    8.00	    0.00	     0.00	     0.00	     0.00	  -318.61	  -318.61	  -318.61	    6.28	   11.76	    7.58	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.79	        100.00	        100.00	        449.79	        100.00	    0.69	    0.30	   12.54
2012	 20	  23	 55	 19.9965	   10.92	    0.00	      7.34	    5.66	    0.20	    0.00	     0.00	     0.00	     0.00	  -322.60	  -322.60	  -322.60	    4.36	    9.66	    7.83	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.80	        100.00	        100.00	        449.80	        100.00	    0.69	    0.30	   12.54
2012	 21	  23	 55	 20.9965	    8.09	    0.00	     10.17	    6.57	    0.00	    1.00	     0.00	     0.00	     0.00	  -323.47	  -323.47	  -323.47	    7.40	   12.86	    8.25	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.80	        100.00	        100.00	        449.80	        100.00	    0.69	    0.30	   12.54
2012	 22	  23	 55	 21.9965	   10.39	    0.00	      7.87	    6.83	    0.00	    2.00	     0.00	     0.00	     0.00	  -326.07	  -326.07	  -326.07	    5.16	   11.66	    8.42	     4.00	     1.00	     1.60	    0.30	    1.00	    0.10	    0.12	    0.18	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	    0.00	    0.24	    0.18	        100.00	        100.00	        449.80	        100.00	        100.00	        449.80	        100.00	    0.69	    0.30	   12.54
