Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	   UStar	     Lob	      Fc	      Ts	      T2	      Q2	     U10	     RH2
2012	  1	   1	  0	  0.0417	    0.14	    0.02	  341.77	  369.57	   11.35	  -27.67	   44.51	   21.92	  -16.10	   11.01	    0.00	    0.00	    0.02	    0.03	   -0.04	   -0.04	    1.00	     0.16	    0.03	   36.34	  110.17	   13.15	    0.11	    0.62	    0.07	    0.89	 3893.33	    0.00	   10.75	   11.33	    7.21	    3.08	   85.89
2012	  1	   2	  0	  0.0833	    0.02	    0.00	  342.07	  370.24	   11.48	  -28.15	   37.43	   16.30	  -15.72	    8.70	    0.00	    0.00	    0.01	    0.01	   -0.03	   -0.03	    0.98	     0.13	    0.02	   36.34	  106.91	   27.83	    0.11	    0.61	    0.07	    0.77	 2628.36	    0.00	   10.83	   11.46	    7.24	    2.67	   85.42
2012	  1	   3	  0	  0.1250	    0.00	    0.00	  342.68	  369.84	   11.39	  -27.16	   36.77	   17.00	  -14.94	    7.56	    0.00	    0.00	    0.01	    0.01	   -0.02	   -0.02	    0.96	     0.12	    0.01	   36.34	  101.60	   41.52	    0.11	    0.63	    0.07	    0.80	 3057.46	    0.00	   10.79	   11.37	    7.28	    2.76	   86.37
2012	  1	   4	  0	  0.1667	    0.00	    0.00	  342.34	  368.94	   11.21	  -26.60	   37.14	   18.41	  -14.63	    6.76	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.02	    0.94	     0.10	    0.01	   36.34	   94.53	   54.15	    0.11	    0.63	    0.07	    0.82	 3404.72	    0.00	   10.63	   11.20	    7.25	    2.85	   87.04
2012	  1	   5	  0	  0.2083	    0.00	    0.00	  340.85	  368.52	   11.15	  -27.67	   39.70	   20.04	  -15.20	    7.19	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    0.93	     0.09	    0.00	   36.34	   86.28	   65.94	    0.11	    0.62	    0.07	    0.87	 3838.19	    0.00	   10.57	   11.13	    7.15	    3.01	   86.19
2012	  1	   6	  0	  0.2500	    0.00	    0.00	  338.78	  368.29	   11.13	  -29.51	   49.15	   26.08	  -14.37	    7.93	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    0.91	     0.08	    0.00	   36.34	   77.54	   77.27	    0.11	    0.60	    0.07	    0.86	 3989.07	    0.00	   10.58	   11.11	    7.01	    3.00	   84.60
2012	  1	   7	  0	  0.2917	    0.00	    0.00	  336.26	  367.48	   10.99	  -31.21	   73.71	   43.42	   -9.41	    8.49	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    0.90	     0.08	    0.00	   36.34	   68.29	   88.66	    0.11	    0.58	    0.07	    0.81	 5316.19	    0.00	   10.62	   10.98	    6.83	    2.83	   83.22
2012	  1	   8	  0	  0.3333	    2.17	    0.24	  334.12	  366.48	   10.82	  -30.43	   99.56	   63.98	   -3.80	    8.94	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    0.88	     0.07	    0.00	   36.34	   58.98	  100.78	    0.11	    0.57	    0.07	    0.80	 4841.13	    0.00	   10.63	   10.78	    6.69	    2.80	   82.53
2012	  1	   9	  0	  0.3750	   18.51	    2.04	  332.88	  366.56	   10.85	  -17.21	  108.25	   80.51	    1.56	    8.97	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.01	    0.87	     0.06	    0.00	   36.33	   50.07	  114.55	    0.11	    0.57	    0.07	    0.73	-7824.49	    0.00	   10.65	   10.58	    6.60	    2.60	   82.59
2012	  1	  10	  0	  0.4167	   52.63	    5.81	  332.39	  368.68	   11.29	   10.53	  105.25	   98.54	    7.19	   10.06	    0.00	    0.00	    0.01	    0.00	   -0.01	   -0.02	    0.85	     0.06	    0.00	   36.33	   42.21	  131.18	    0.11	    0.57	    0.07	    0.75	-5448.13	    0.00	   10.82	   10.53	    6.57	    2.67	   82.46
